"k","n_stable","n_total","prop_stable","n_borderline","n_invalid","min_jaccard","mean_jaccard","sd_jaccard"
2,2,2,1,0,0,0.983,0.986,0.004
3,2,3,0.67,1,0,0.638,0.784,0.128
4,4,4,1,0,0,0.833,0.916,0.07
5,5,5,1,0,0,0.785,0.887,0.101
6,5,6,0.83,1,0,0.652,0.839,0.12
7,6,7,0.86,1,0,0.666,0.869,0.11
8,6,8,0.75,2,0,0.624,0.858,0.132
9,5,9,0.56,3,1,0.438,0.775,0.181
