"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3"
"Neg",43303,"[M-H]-",10.822,"PI 18:1_20:5 (a)","PI",216664,236691,287294,5039,0,0,0,0,0,0,0,0,2771,0,0,0,0,0
"Neg",43304,"[M-H]-",11.127,"PI 18:1_20:5 (b)","PI",468442,487699,454434,4803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",45016,"[M-H]-",14.037,"PI 18:1_22:2 (a)","PI",634623,759424,753890,138021,4631,7545,6585,18008,15196,0,0,0,0,0,2969,1691,3844,3879
"Neg",45015,"[M-H]-",14.329,"PI 18:1_22:2 (b)","PI",61162,197801,168130,48834,3101,4311,0,4870,0,0,0,3705,0,2215,0,2846,0,0
"Neg",44820,"[M-H]-",12.284,"PI 18:1_22:4","PI",168224,252713,350658,10581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",44720,"[M-H]-",11.518,"PI 18:1_22:5","PI",716679,865096,888158,139270,3237,4130,0,5860,0,0,0,0,0,0,0,0,0,0
"Neg",44619,"[M-H]-",11.205,"PI 18:1_22:6","PI",367726,458818,476122,42051,0,0,0,0,0,0,0,0,3711,0,0,0,0,0
"Neg",44101,"[M-H]-",12.013,"PI 19:1_20:4","PI",150720,244991,356184,17344,0,0,3966,0,0,3182,0,0,0,0,4984,3680,0,9126
"Neg",34454,"[M-H]-",11.546,"PS 16:0_16:1","PS",3794233,4377180,4405642,60187,5740,59257,14748,83555,30399,2316,0,4153,0,0,0,0,0,0
"Neg",36139,"[M-H]-",12.657,"PS 16:0_18:1 (a)","PS",25266882,28858857,29614469,1161668,247015,683611,681000,1249226,733747,155284,0,67377,0,0,20244,41158,0,0
"Neg",36137,"[M-H]-",13.409,"PS 16:0_18:1 (b)","PS",247284,823174,507785,9047,0,0,0,3625,0,0,0,0,0,0,0,0,0,0
"Neg",37533,"[M-H]-",11.546,"PS 16:0_20:4 (a)","PS",691994,708996,715515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",37532,"[M-H]-",12.641,"PS 16:0_20:4 (b)","PS",1076789,2619016,2640329,188776,29352,56198,165546,231135,200008,3448,0,5227,0,0,0,0,0,0
"Neg",39131,"[M-H]-",11.605,"PS 16:0_22:5 (a)","PS",1613721,1742052,1589401,3539,4592,10206,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",39133,"[M-H]-",12.6,"PS 16:0_22:5 (b)","PS",0,0,0,4946,8261,8357,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",39000,"[M-H]-",11.223,"PS 16:0_22:6","PS",497944,586174,626408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",36015,"[M-H]-",11.662,"PS 16:1_18:1","PS",1871832,3841052,1921896,31883,2902,9499,3646,25508,22786,0,0,0,0,0,0,0,0,0
"Neg",37007,"[M-H]-",13.259,"PS 17:0_18:1","PS",1510556,1888681,1886810,44122,4538,16203,25602,27235,9715,2973,0,3695,0,0,0,0,0,0
"Neg",37875,"[M-H]-",13.878,"PS 18:0_18:1 (a)","PS",39557188,44264569,46298773,1545701,365973,1187173,1051932,1673400,992009,150097,3578,377889,2704,3218,79505,213387,30710,14864
"Neg",37879,"[M-H]-",14.46,"PS 18:0_18:1 (b)","PS",794510,845436,1542217,7806,3142,13671,4110,29999,20440,2631,3593,0,0,2931,0,0,0,0
"Neg",37877,"[M-H]-",14.865,"PS 18:0_18:1 (c)","PS",292689,544723,366716,3389,0,9633,0,8742,4407,5432,0,0,0,0,0,0,0,0
"Neg",39371,"[M-H]-",13.168,"PS 18:0_20:3","PS",3564189,3967161,4070863,39941,5277,6774,12938,5369,5708,0,0,0,0,0,0,0,0,0
"Neg",39885,"[M-H]-",12.96,"PS 18:0_20:3<OH> (a)","OxPS",879211,939695,754896,9295,22264,4587,5487,0,0,0,0,0,0,0,0,0,0,0
"Neg",39888,"[M-H]-",12.985,"PS 18:0_20:3<OH> (b)","OxPS",879211,939141,754896,56668,45710,34938,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",39887,"[M-H]-",13.196,"PS 18:0_20:3<OH> (c)","OxPS",59390,37307,30485,32817,25947,30351,9351,0,0,0,0,0,0,0,0,0,0,0
"Neg",39261,"[M-H]-",12.65,"PS 18:0_20:4 (a)","PS",3662918,4060959,4774426,62218,4426,23464,4417,7459,0,0,0,0,0,0,0,0,0,0
"Neg",39260,"[M-H]-",13.858,"PS 18:0_20:4 (b)","PS",7420365,7362990,7169626,898581,297016,438108,619469,860073,896775,76482,21788,135219,2200,0,3300,90020,3441,0
"Neg",39132,"[M-H]-",11.841,"PS 18:0_20:5 (a)","PS",834519,1044224,1041432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",39129,"[M-H]-",12.806,"PS 18:0_20:5 (b)","PS",1596512,1578506,1696740,105185,7604,7373,11522,31372,55789,0,0,0,0,0,0,0,0,0
"Neg",41004,"[M-H]-",14.523,"PS 18:0_22:3","PS",254626,391014,374437,0,0,0,0,0,0,0,0,0,0,3942,0,0,0,0
"Neg",40892,"[M-H]-",13.5,"PS 18:0_22:4 (a)","PS",1484968,886886,2103495,11368,7772,8654,8848,12852,0,0,0,0,0,0,0,0,0,0
"Neg",40889,"[M-H]-",15.155,"PS 18:0_22:4 (b)","PS",697862,439568,595321,9475,2536,2850,7395,12961,16068,0,0,4159,0,0,0,0,0,0
"Neg",41248,"[M-H]-",13.15,"PS 18:0_22:4<OH>","OxPS",56802,60307,46445,6716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neg",40763,"[M-H]-",12.632,"PS 18:0_22:5 (a)","PS",19752392,21804035,21816781,170930,32449,202467,107663,147844,48187,8383,0,3903,0,0,8503,4020,0,0
"Neg",40762,"[M-H]-",13.405,"PS 18:0_22:5 (b)","PS",279357,211686,208680,0,0,4850,0,0,0,0,0,0,0,0,0,0,0,0
