SPECTRUM - MS
D:\KP4_cells\20260221_Neg_H2O2QC_PRM_1.raw
 FTMS - p ESI Full ms2 678.3986@hcd30.00 [47.5052-712.5786] 
Scan #:1766 
RT: 7.63 
AV: 1 
Data points: 571
Mass,Intensity
47.03285966252,0
47.0330532481759,0
47.033246835027,0
47.0334404230732,0
60.2408778707791,0
60.2411584846394,0
60.2414391004604,0
60.2417197182422,0
60.2420003379848,204.064727783203
60.2422809596881,329.394500732422
60.2425615833523,361.743011474609
60.2428422089774,276.127716064453
60.2431228365633,135.537460327148
60.2434331224185,0
60.2437137539262,0
60.2439943873947,0
60.2442750228242,0
64.2388184348876,0
64.2391274419788,0
64.2394364512996,0
64.23974546285,0
64.2400544766301,215.558395385742
64.2403634926399,309.062805175781
64.2406725108795,343.117462158203
64.2409815313488,316.164825439453
64.2412905540478,246.272918701172
64.2415995789766,154.436950683594
64.2419142830993,0
64.2422233124878,0
64.2425323441061,0
64.2428413779543,0
65.3430316284032,0
65.3433486370164,0
65.3436656479366,0
65.3439826611638,0
65.3442996766979,158.041763305664
65.3446166945391,297.568328857422
65.3449337146873,372.115173339844
65.3452507371425,330.982360839844
65.3455677619049,207.373458862305
65.3459342995958,0
65.3462513289723,0
65.346568360656,0
65.3468853946469,0
76.4218534082636,0
76.4222543660752,0
76.4226553270423,0
76.423056291165,0
76.4234572584433,164.896957397461
76.4238582288773,252.069122314453
76.4242592024669,297.372802734375
76.4246601792123,268.628997802734
76.4250611591133,173.556335449219
76.425317999047,0
76.4257189852597,0
76.4261199746282,0
76.4265209671526,0
78.9557324389492,0
78.9561535039571,0
78.9565745723334,0
78.9569956440779,0
78.9574167191909,0
78.9578377976722,338.097290039063
78.9582588795219,1075.91540527344
78.9586799647401,1856.16149902344
78.9591010533268,2239.8203125
78.959522145282,1624.29858398438
78.9599432406058,902.522644042969
78.9603643392982,301.129119873047
78.9607854413592,92.7877731323242
78.9613732017541,0
78.9617943105525,0
78.9622154227197,0
78.9626365382556,0
85.074113044479,0
85.074583987892,0
85.0750549352155,0
85.0755258864496,0
85.0759968415942,158.05094909668
85.0764678006496,285.462463378906
85.0769387636156,334.517486572266
85.0774097304923,269.28173828125
85.0778807012799,139.945999145508
85.0783580009682,0
85.0788289795774,0
85.0792999620976,0
85.0797709485286,0
87.9088908866471,0
87.9093855638147,0
87.9098802451578,0
87.9103749306764,0
87.9108696203705,120.702110290527
87.9113643142403,268.637664794922
87.9118590122857,389.310699462891
87.9123537145068,383.625579833984
87.9128484209037,255.005783081055
87.9133431314764,99.5429763793945
87.9138397694352,0
87.9143344883596,0
87.9148292114599,0
87.9153239387363,0
89.8938762444748,0
