"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Pos","[M+NH4]+",17.559,666.60327,"DG 18:0_20:2","DG",30207
"Pos","[M+NH4]+",18.444,642.60327,"DG 16:0_20:0","DG",28240
"Pos","[M+NH4]+",18.497,642.60309,"DG 18:0_18:0","DG",28238
"Pos","[M+NH4]+",18.526,668.61902,"DG 18:0_20:1","DG",30373
"Pos","[M+NH4]+",18.647,694.63464,"DG 18:1_22:1","DG",32664
"Pos","[M+NH4]+",19.932,696.65021,"DG 16:0_24:1","DG",32844
"Pos","[M+NH4]+",20.02,722.66583,"DG 18:1_24:1","DG",35198
"Pos","[M+NH4]+",21.075,724.68134,"DG 16:0_26:1","DG",35374
"Pos","[M+NH4]+",21.124,698.66553,"DG 16:0_24:0","DG",33024
"Pos","[M+NH4]+",21.13,750.69714,"DG 18:1_26:1","DG",37831
"Pos","[M+NH4]+",22.073,726.69708,"DG 16:0_26:0","DG",35564
"Pos","[M+NH4]+",9.496,488.39444,"TG 8:0_8:0_8:0","TG",16801
"Pos","[M+NH4]+",9.891,488.3945,"TG 8:0_8:0_8:0","TG",16802
"Pos","[M+NH4]+",10.768,516.42584,"TG 8:0_8:0_10:0","TG",18807
"Pos","[M+NH4]+",21.057,868.73859,"TG 16:1_16:1_20:4","TG",49322
"Pos","[M+NH4]+",21.189,766.69189,"TG 14:0_14:0_16:1","TG",39345
"Pos","[M+NH4]+",21.25,792.70673,"TG 14:0_16:1_16:1","TG",41964
"Pos","[M+NH4]+",21.304,818.72351,"TG 14:0_16:1_18:2","TG",44441
"Pos","[M+NH4]+",21.325,894.75439,"TG 16:1_18:1_20:5","TG",51634
"Pos","[M+NH4]+",21.332,792.70795,"TG 14:0_16:1_16:1","TG",41968
"Pos","[M+NH4]+",21.382,970.78607,"TG 16:0_22:5_22:6","TG",57743
"Pos","[M+NH4]+",21.411,996.80188,"TG 18:1_22:5_22:6","TG",59594
"Pos","[M+NH4]+",21.412,818.72339,"TG 16:1_16:1_16:1","TG",44440
"Pos","[M+NH4]+",21.519,844.7392,"TG 16:0_16:1_18:3","TG",46962
"Pos","[M+NH4]+",21.532,868.73926,"TG 14:0_16:0_22:6","TG",49325
