SPECTRUM - MS
E:\JOSH\2. RISOP PROJECT\1. MS-DIAL run\Neg\Neg_ML210_2XQC_4.raw
 FTMS - p ESI d Full ms2 838.5602@hcd30.00 [58.3962-875.9434] 
Scan #:5766 
RT: 11.91 
AV: 1 
Data points: 663
Mass,Intensity
57.8154360035457,0
57.8156998418135,0
57.8159636818874,0
57.8162275237674,0
67.4358893355166,0
67.4362216960089,0
67.4365540589582,0
67.4368864243647,0
67.4372187922283,224.857177734375
67.4375511625491,436.988494873047
67.4378835353271,540.51416015625
67.4382159105623,461.313873291016
67.4385482882548,262.810760498047
67.438915630836,0
67.439248013443,0
67.4395803985073,0
67.439912786029,0
76.6813055646742,0
76.6817085666937,0
76.6821115718903,0
76.682514580264,0
76.6829175918147,168.83203125
76.6833206065425,314.622680664063
76.6837236244475,379.134887695313
76.6841266455297,316.77783203125
76.6845296697891,174.542617797852
76.6849376350689,0
76.6853406656828,0
76.6857436994741,0
76.6861467364427,0
78.9564914399082,0
78.9569125104074,0
78.9573335842749,0
78.9577546615109,0
78.9581757421152,217.628692626953
78.958596826088,473.272644042969
78.9590179134293,691.292236328125
78.9594390041391,721.789306640625
78.9598600982174,549.807495117188
78.9602811956644,295.689971923828
78.9607182588541,0
78.9611393630384,0
78.9615604705914,0
78.9619815815131,0
86.5020609877865,0
86.5025438386084,0
86.5030266934732,0
86.503509552381,0
86.5039924153317,0
86.5044752823256,0
86.5049581533625,0
86.5054410284425,0
86.5059239075657,0
86.5064067907322,0
86.5068896779419,0
86.5073838705324,0
86.5078667658288,0
86.5083496651686,0
86.5088325685519,0
90.4878632985037,0
90.4883799038376,0
90.4888965135956,0
90.4894131277777,0
90.489929746384,243.226181030273
90.4904463694144,347.975738525391
90.4909629968692,382.224670410156
90.4914796287483,331.816833496094
90.4919962650517,220.464218139648
90.4925299522132,0
90.4930465973656,0
90.4935632469425,0
90.4940799009439,0
95.8804617537272,0
95.8810252209622,0
95.8815886931644,0
95.8821521703337,0
95.8827156524702,292.223419189453
95.8832791395739,431.590972900391
95.883842631645,453.049957275391
95.8844061286834,329.247131347656
95.8849696306893,143.332748413086
95.885528844382,0
95.8860923563229,0
95.8866558732315,0
95.8872193951077,0
96.6913191955684,0
96.6918898258069,0
96.6924604610969,0
96.6930311014384,0
96.6936017468314,211.250747680664
96.6941723972761,367.83544921875
96.6947430527725,466.243896484375
96.6953137133207,447.506652832031
96.6958843789206,318.450225830078
96.6964656474704,0
96.6970363231742,0
96.6976070039299,0
96.6981776897377,0
100.929114390093,0
100.929722943,0
100.93033150141,0
100.930940065324,0
100.931548634743,129.109405517578
100.932157209665,284.12841796875
100.932765790092,815.892333984375
100.933374376023,1383.56335449219
100.933982967459,1552.92492675781
100.934591564398,1028.87316894531
100.935200166843,481.860290527344
100.935808774791,74.6351013183594
100.9364397665,0
100.937048385458,0
100.937657009921,0
100.938265639889,0
110.180424971837,0
110.181119085356,0
110.181813205435,0
110.182507332072,0
110.183201465269,219.067276000977
110.183895605026,333.944091796875
110.184589751342,386.841003417969
110.185283904217,343.462371826172
110.185978063653,221.662857055664
110.186725953515,0
110.187420126069,0
110.188114305184,0
110.188808490859,0
144.579781886859,0
144.58082525094,0
144.581868626315,0
144.582912012985,0
144.58395541095,243.685119628906
144.584998820209,374.395080566406
144.586042240763,438.211700439453
144.587085672612,394.557739257813
144.588129115756,262.937896728516
144.589186666578,0
144.590230132314,0
144.591273609345,0
144.592317097672,0
152.988571697787,0
152.989707396546,0
152.99084310795,0
152.991978832001,0
152.993114568699,184.314712524414
152.994250318043,399.362060546875
152.995386080034,546.337951660156
152.996521854673,524.60595703125
152.997657641959,356.541534423828
152.998793441892,161.271530151367
152.999919901783,0
153.001055727012,0
153.002191564889,0
153.003327415415,0
157.591788400531,0
157.592975740756,0
157.594163094398,0
157.59535046146,0
157.596537841941,154.633895874023
157.597725235842,309.854400634766
157.598912643161,413.557098388672
157.600100063901,402.404571533203
157.60128749806,288.539855957031
157.602479513603,0
157.603666974603,0
157.604854449023,0
157.606041936864,0
158.967353943145,0
158.96855686311,0
158.969759796729,0
158.970962744002,0
158.972165704929,203.553070068359
158.973368679511,495.245208740234
158.974571667748,796.478332519531
158.97577466964,892.704650878906
158.976977685187,695.487182617188
158.97818071439,353.809143066406
158.979383757248,109.940284729004
158.980588530189,0
158.981791600359,0
158.982994684186,0
158.984197781669,0
168.033448050943,0
168.034755330889,0
168.036062626091,0
168.037369936549,0
168.038677262263,145.821807861328
168.039984603234,239.424728393555
168.041291959462,720.146423339844
168.042599330946,1243.7841796875
168.043906717688,1381.69677734375
168.045214119688,933.99267578125
168.046521536945,483.474945068359
168.04782896946,135.499176025391
168.04913661252,0
168.050444075552,0
168.051751553842,0
168.053059047391,0
168.097522908816,0
168.098830936577,0
168.100138979605,0
168.101447037901,0
168.102755111465,195.076400756836
168.104063200297,317.703063964844
168.105371304398,374.831207275391
168.106679423767,333.394409179688
168.107987558405,215.631195068359
168.109303087996,0
168.110611253172,0
168.111919433619,0
168.113227629335,0
180.085220906064,0
180.086671321102,0
180.088121753662,0
180.089572203745,0
180.091022671351,171.939666748047
180.09247315648,327.722381591797
180.093923659134,402.157775878906
180.095374179312,337.301361083984
180.096824717014,180.85920715332
180.098254428717,0
180.099705001469,0
180.101155591746,0
180.102606199548,0
223.547304363913,0
223.549310359897,0
223.551316382882,0
223.553322432869,0
223.555328509858,165.405914306641
223.55733461385,322.073638916016
223.559340744845,417.509643554688
223.561346902844,390.747711181641
223.563353087848,268.750762939453
223.565360476174,0
223.567366715187,0
223.569372981206,0
223.571379274231,0
224.053671750519,0
224.055684566187,0
224.05769740898,0
224.059710278896,0
224.061723175937,91.893424987793
224.063736100104,241.987243652344
224.065749051396,551.044555664063
224.067762029814,997.903991699219
224.069775035359,1193.3447265625
224.071788068031,852.17919921875
224.073801127831,312.466186523438
224.075814214759,93.4348907470703
224.077834363095,0
224.079847504281,0
224.081860672597,0
224.083873868042,0
227.103672090492,0
227.105726145924,0
227.107780229223,0
227.10983434039,0
227.111888479426,186.064910888672
227.11394264633,350.986083984375
227.115996841103,430.170867919922
227.118051063746,363.990478515625
227.12010531426,199.956298828125
227.122160620649,0
227.124214926905,0
227.126269261032,0
227.128323623032,0
227.545936947142,0
227.547997005651,0
227.550057092136,0
227.552117206597,0
227.554177349036,142.051849365234
227.556237519451,2460.009765625
227.558297717845,4041.56567382813
227.560357944217,5825.4462890625
227.562418198568,5822.98974609375
227.564478480899,3089.2314453125
227.56653879121,228.79606628418
227.568599129501,0
227.570659532676,0
227.57271992693,91.8334884643555
227.574780349165,2061.23852539063
227.576840799383,3293.27026367188
227.578901277584,2833.36840820313
227.580961783769,1465.21911621094
227.583022317937,83.6682739257813
227.585083574158,0
227.587144164296,0
227.58920478242,0
227.591265428529,0
227.865580948089,0
227.867645348916,0
227.869709777798,0
227.871774234736,0
227.873838719728,199.963760375977
227.875903232777,338.493774414063
227.877967773883,397.247009277344
227.880032343045,339.860473632813
227.882096940266,206.383666992188
227.88415193398,0
227.886216587317,0
227.888281268713,0
227.890345978169,0
241.2024090177,0
241.20465728829,0
241.206905590315,0
241.209153923775,0
241.211402288672,180.979049682617
241.213650685004,763.436462402344
241.215899112774,1350.12170410156
241.218147571981,1712.62756347656
241.220396062627,1275.51965332031
241.222644584711,709.054626464844
241.224893138235,184.841110229492
241.22658815202,0
241.228836768425,0
241.23108541627,0
241.233334095558,0
255.212977050315,0
255.215424038197,0
255.217871061273,0
255.220318119542,0
255.222765213005,80.0121002197266
255.225212341663,573.804626464844
255.227659505516,2403.2763671875
255.230106704566,4584.43115234375
255.232553938813,6498.251953125
255.235001208257,5499.25927734375
255.237448512899,3289.5966796875
255.23989585274,1282.21508789063
255.242343227781,371.922729492188
255.244790638022,134.987030029297
255.247782904052,0
255.250230384696,0
255.252677900542,0
255.255125451591,0
257.214599908284,0
257.217075732141,0
257.219551591744,0
257.222027487095,0
257.224503418195,266.677062988281
257.226979385043,430.0107421875
257.229455387641,479.198883056641
257.231931425989,377.434051513672
257.234407500088,196.117935180664
257.236844309291,0
257.239320454894,0
257.24179663625,0
257.244272853361,0
259.226741336128,0
259.229246269276,0
259.231751238734,0
259.2342562445,0
259.236761286576,186.863922119141
259.239266364962,612.975708007813
259.24177147966,1073.99487304688
259.244276630669,1226.13037109375
259.246781817991,843.860900878906
259.249287041627,309.953308105469
259.251792301576,95.0051116943359
259.254299405013,0
259.256804737592,0
259.259310106488,0
259.2618155117,0
260.229101780021,0
260.231621256098,0
260.234140768764,0
260.236660318021,0
260.239179903869,242.843963623047
260.241699526309,383.600036621094
260.244219185341,427.722412109375
260.246738880966,346.687683105469
260.249258613186,187.102325439453
260.251788087603,0
260.254307893013,0
260.256827735018,0
260.25934761362,0
265.599161277186,0
265.601759141857,0
265.604357044643,0
265.606954985545,0
265.609552964564,205.647888183594
265.612150981701,381.913238525391
265.614749036956,465.110961914063
265.61734713033,399.590270996094
265.619945261824,235.489227294922
265.622058074737,0
265.624656282473,0
265.627254528331,0
265.629852812312,0
267.211452401282,0
267.214073964142,0
267.216695565581,0
267.219317205601,0
267.221938884202,154.329742431641
267.224560601385,1128.59448242188
267.22718235715,4280.81201171875
267.229804151499,8013.89697265625
267.232425984433,11328.748046875
267.235047855951,9727.1220703125
267.237669766055,5925.22216796875
267.240291714746,2456.29711914063
267.242913702024,807.399963378906
267.24553572789,358.252380371094
267.248157792345,209.882034301758
267.250573996565,0
267.2531961382,0
267.255818318425,0
267.258440537243,0
269.228072761764,0
269.230724060697,0
269.233375398795,0
269.236026776057,0
269.238678192485,14.3052787780762
269.24132964808,366.686370849609
269.243981142842,1111.71081542969
269.246632676773,1895.99987792969
269.249284249872,2233.6044921875
269.251935862141,1604.7705078125
269.25458751358,887.128662109375
