"Polarity","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Pos","[M+NH4]+",22.756,"TG 15:0_18:1(d7)_15:0","TG",49473270,29978984,42080597,3265665,4441723,4377815,39794398,38798452,36380898,51798192,52960769,54584881,44077805,58205012,45675893,51358138,53791026,49950740,53622973,60240176,59994861,25661480,49413892,15655693,51255589,16830196,53258767,51027510,46431082,25571540,54396363,42309933,52249999,43189787,64122236,48146616
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","EtherPE",21929341,18029484,20678479,312989,163126,262631,6377983,7108455,5805365,7774686,11259227,12385422,7113987,10669987,7934848,8739853,11380238,11091214,20210509,20681607,21518575,17515798,20138606,16007801,17707049,14619374,18911796,16714529,15162691,16767217,16815901,19063549,19966891,18426941,21199806,19025044
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","EtherPE",43051916,38090908,41333390,686885,473321,502472,13572399,15060036,12675413,24704737,19962695,26937186,20809355,29899784,22719075,27385868,24582452,27137355,43932945,46647384,46774669,38906223,41393928,34603618,39129849,37921391,42781112,35952912,37554805,37829361,38899988,43153024,40719153,40828405,47882189,43784987
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","EtherLPE",11008330,15178491,28200045,49459,0,1679,93097,307429,105768,2443882,1267049,1401745,2615990,3113704,2233531,3372056,2049965,5592494,14308868,18982679,11206889,13543249,10925990,9772461,9425468,23593496,20013964,11351986,20906804,11461222,12930158,12524783,12070432,11476056,12420877,15259390
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","EtherLPE",33320722,30060707,31074355,157769,2655,0,292139,475044,310930,4153110,3540809,4685990,4260333,5571235,4328268,5471774,6159446,10633543,33878788,36903295,37677405,30407761,30182515,31051067,29958051,32112203,33596203,30274932,35786035,34576684,34045615,38209344,39799541,34186201,41369121,38259529
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","EtherPC",17599594,14278817,15968513,367700,160861,241147,5995176,6685635,5884412,7471651,11567115,10814719,6100311,8507218,6794478,7386936,10571501,9335456,16094221,15474340,17005114,14091229,16090762,13211013,14057869,11755104,14893924,13564630,12327826,13834974,13770146,15033569,15139270,14308263,15443272,14488402
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","EtherPC",176760318,150394614,151178345,2757979,1617750,1682887,41992830,45919422,41453546,78615035,72384166,75213111,57588610,78564055,64878864,72575206,72771049,71688785,179035126,185055570,189764362,158603413,167636380,140290537,144650042,132553597,163907670,140181119,152494715,149384063,149813427,155082402,156528807,138009032,164976671,151438025
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","EtherLPC",85988381,75247362,75270837,343052,19867,6779,562791,767790,697468,22546757,21702722,24505961,24788228,29532430,25165984,26364157,33248442,41362254,86497524,90200495,91542445,77785912,80740879,76823509,76903847,79440476,82113351,77589128,87065267,83545357,86213194,92383477,92789320,87524117,107300901,98931422
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","EtherPG",13110377,12154505,15363033,189632,76030,113091,3425039,4423561,3467622,5698688,7636677,9609665,5094465,7803276,6041514,7172519,8971770,9867041,14282331,14889233,16828410,19424860,18783547,16009504,18260187,15399848,19999369,18963373,16488008,19402198,19363054,21631112,23105367,19340052,21176758,20742020
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","EtherPI",3245981,3038480,3272829,39891,20415,61946,205700,360228,299494,328946,375056,682827,233800,333195,381519,523138,313740,698032,3383537,3647407,4025045,3838181,3656099,3124167,3288342,3273370,3740475,4321830,4849810,5300697,5411013,6190776,8278098,5260684,6530220,6685594
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","EtherPS",5053511,4227217,3691227,722885,386988,573155,636576,970795,953194,589381,413108,695525,256829,408781,466239,411103,440873,480019,4973341,4206025,4363653,4480402,3980235,3779369,3530604,2518358,3679818,3613655,3169268,3125520,3519914,3364742,4177755,3197685,3654940,3150869
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","OxEtherPE",21929341,18029484,20678479,312989,163126,262631,6377983,7108455,5805365,7774686,11259227,12385422,7113987,10669987,7934848,8739853,11380238,11091214,20210509,20681607,21518575,17515798,20138606,16007801,17707049,14619374,18911796,16714529,15162691,16767217,16815901,19063549,19966891,18426941,21199806,19025044
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","OxEtherPE",43051916,38090908,41333390,686885,473321,502472,13572399,15060036,12675413,24704737,19962695,26937186,20809355,29899784,22719075,27385868,24582452,27137355,43932945,46647384,46774669,38906223,41393928,34603618,39129849,37921391,42781112,35952912,37554805,37829361,38899988,43153024,40719153,40828405,47882189,43784987
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxEtherLPE",11008330,15178491,28200045,49459,0,1679,93097,307429,105768,2443882,1267049,1401745,2615990,3113704,2233531,3372056,2049965,5592494,14308868,18982679,11206889,13543249,10925990,9772461,9425468,23593496,20013964,11351986,20906804,11461222,12930158,12524783,12070432,11476056,12420877,15259390
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxEtherLPE",33320722,30060707,31074355,157769,2655,0,292139,475044,310930,4153110,3540809,4685990,4260333,5571235,4328268,5471774,6159446,10633543,33878788,36903295,37677405,30407761,30182515,31051067,29958051,32112203,33596203,30274932,35786035,34576684,34045615,38209344,39799541,34186201,41369121,38259529
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxEtherPC",17599594,14278817,15968513,367700,160861,241147,5995176,6685635,5884412,7471651,11567115,10814719,6100311,8507218,6794478,7386936,10571501,9335456,16094221,15474340,17005114,14091229,16090762,13211013,14057869,11755104,14893924,13564630,12327826,13834974,13770146,15033569,15139270,14308263,15443272,14488402
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxEtherPC",176760318,150394614,151178345,2757979,1617750,1682887,41992830,45919422,41453546,78615035,72384166,75213111,57588610,78564055,64878864,72575206,72771049,71688785,179035126,185055570,189764362,158603413,167636380,140290537,144650042,132553597,163907670,140181119,152494715,149384063,149813427,155082402,156528807,138009032,164976671,151438025
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxEtherLPC",85988381,75247362,75270837,343052,19867,6779,562791,767790,697468,22546757,21702722,24505961,24788228,29532430,25165984,26364157,33248442,41362254,86497524,90200495,91542445,77785912,80740879,76823509,76903847,79440476,82113351,77589128,87065267,83545357,86213194,92383477,92789320,87524117,107300901,98931422
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","OxEtherPG",13110377,12154505,15363033,189632,76030,113091,3425039,4423561,3467622,5698688,7636677,9609665,5094465,7803276,6041514,7172519,8971770,9867041,14282331,14889233,16828410,19424860,18783547,16009504,18260187,15399848,19999369,18963373,16488008,19402198,19363054,21631112,23105367,19340052,21176758,20742020
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","OxEtherPI",3245981,3038480,3272829,39891,20415,61946,205700,360228,299494,328946,375056,682827,233800,333195,381519,523138,313740,698032,3383537,3647407,4025045,3838181,3656099,3124167,3288342,3273370,3740475,4321830,4849810,5300697,5411013,6190776,8278098,5260684,6530220,6685594
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","OxEtherPS",5053511,4227217,3691227,722885,386988,573155,636576,970795,953194,589381,413108,695525,256829,408781,466239,411103,440873,480019,4973341,4206025,4363653,4480402,3980235,3779369,3530604,2518358,3679818,3613655,3169268,3125520,3519914,3364742,4177755,3197685,3654940,3150869
"Pos","[M+H]+",3.148,"LPC 18:1(d7)","OxLPC",85988381,75247362,75270837,343052,19867,6779,562791,767790,697468,22546757,21702722,24505961,24788228,29532430,25165984,26364157,33248442,41362254,86497524,90200495,91542445,77785912,80740879,76823509,76903847,79440476,82113351,77589128,87065267,83545357,86213194,92383477,92789320,87524117,107300901,98931422
"Neg","[M-H]-",3.086,"LPE 18:1(d7)","OxLPE",11008330,15178491,28200045,49459,0,1679,93097,307429,105768,2443882,1267049,1401745,2615990,3113704,2233531,3372056,2049965,5592494,14308868,18982679,11206889,13543249,10925990,9772461,9425468,23593496,20013964,11351986,20906804,11461222,12930158,12524783,12070432,11476056,12420877,15259390
"Pos","[M+H]+",3.1,"LPE 18:1(d7)","OxLPE",33320722,30060707,31074355,157769,2655,0,292139,475044,310930,4153110,3540809,4685990,4260333,5571235,4328268,5471774,6159446,10633543,33878788,36903295,37677405,30407761,30182515,31051067,29958051,32112203,33596203,30274932,35786035,34576684,34045615,38209344,39799541,34186201,41369121,38259529
"Neg","[M+HCOO]-",12.946,"PC 15:0_18:1(d7)","OxPC",17599594,14278817,15968513,367700,160861,241147,5995176,6685635,5884412,7471651,11567115,10814719,6100311,8507218,6794478,7386936,10571501,9335456,16094221,15474340,17005114,14091229,16090762,13211013,14057869,11755104,14893924,13564630,12327826,13834974,13770146,15033569,15139270,14308263,15443272,14488402
"Pos","[M+H]+",12.965,"PC 15:0_18:1(d7)","OxPC",176760318,150394614,151178345,2757979,1617750,1682887,41992830,45919422,41453546,78615035,72384166,75213111,57588610,78564055,64878864,72575206,72771049,71688785,179035126,185055570,189764362,158603413,167636380,140290537,144650042,132553597,163907670,140181119,152494715,149384063,149813427,155082402,156528807,138009032,164976671,151438025
"Neg","[M-H]-",13.064,"PE 15:0_18:1(d7)","OxPE",21929341,18029484,20678479,312989,163126,262631,6377983,7108455,5805365,7774686,11259227,12385422,7113987,10669987,7934848,8739853,11380238,11091214,20210509,20681607,21518575,17515798,20138606,16007801,17707049,14619374,18911796,16714529,15162691,16767217,16815901,19063549,19966891,18426941,21199806,19025044
"Pos","[M+H]+",13.067,"PE 15:0_18:1(d7)","OxPE",43051916,38090908,41333390,686885,473321,502472,13572399,15060036,12675413,24704737,19962695,26937186,20809355,29899784,22719075,27385868,24582452,27137355,43932945,46647384,46774669,38906223,41393928,34603618,39129849,37921391,42781112,35952912,37554805,37829361,38899988,43153024,40719153,40828405,47882189,43784987
"Neg","[M-H]-",12.172,"PG 15:0_18:1(d7)","OxPG",13110377,12154505,15363033,189632,76030,113091,3425039,4423561,3467622,5698688,7636677,9609665,5094465,7803276,6041514,7172519,8971770,9867041,14282331,14889233,16828410,19424860,18783547,16009504,18260187,15399848,19999369,18963373,16488008,19402198,19363054,21631112,23105367,19340052,21176758,20742020
"Neg","[M-H]-",11.913,"PI 15:0_18:1(d7)","OxPI",3245981,3038480,3272829,39891,20415,61946,205700,360228,299494,328946,375056,682827,233800,333195,381519,523138,313740,698032,3383537,3647407,4025045,3838181,3656099,3124167,3288342,3273370,3740475,4321830,4849810,5300697,5411013,6190776,8278098,5260684,6530220,6685594
"Neg","[M-H]-",12.261,"PS 15:0_18:1(d7)","OxPS",5053511,4227217,3691227,722885,386988,573155,636576,970795,953194,589381,413108,695525,256829,408781,466239,411103,440873,480019,4973341,4206025,4363653,4480402,3980235,3779369,3530604,2518358,3679818,3613655,3169268,3125520,3519914,3364742,4177755,3197685,3654940,3150869
