Replicate,0 min,20 min,45 min,80 min,120 min,270 min
1,0.016792197,0.033356692,0.096593299,0.821245089,0.717214615,0.17989774
2,0.025847458,0.037113687,0.107182628,0.749479279,0.751881486,0.176235931
3,0.028016009,0.037472447,0.083509068,0.775452774,0.7161851,0.154053723
