"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","ML210_0min_1","ML210_0min_2","ML210_0min_3","ML210_20min_1","ML210_20min_2","ML210_20min_3","ML210_45min_1","ML210_45min_2","ML210_45min_3","ML210_80min_1","ML210_80min_2","ML210_80min_3","ML210_120min_1","ML210_120min_2","ML210_120min_3","ML210_270min_1","ML210_270min_2","ML210_270min_3"
"Pos",20231,"[M+H]+",4.26,"LPC 19:1","LPC",186445,351604,326966,652251,595805,491501,276493,548031,364239,281535,273180,474737,374662,381537,188351,374046,202104,161182
"Pos",20931,"[M+H]+",2.615,"LPC 20:3","LPC",454411,308604,178038,824390,801809,494634,698380,804740,821668,732030,737882,736313,649285,1471812,742317,730964,509980,442047
"Pos",20814,"[M+H]+",1.923,"LPC 20:4 (a)","LPC",591708,569132,487118,869162,831368,711072,828578,919277,992598,1112920,947894,821868,700671,1085799,788973,559080,624138,557085
"Pos",20813,"[M+H]+",2.09,"LPC 20:4 (b)","LPC",874236,857958,671084,1526967,1428936,1132719,1223947,1414542,1589698,1702586,1411284,1410558,1515590,3031194,1527814,1561369,1139954,939132
"Pos",20691,"[M+H]+",1.557,"LPC 20:5","LPC",307453,259538,199274,714956,451198,341926,403723,436574,509647,596420,432148,489068,625656,991945,434330,385671,373097,94797
"Pos",22815,"[M+H]+",3.23,"LPC 22:4","LPC",106731,54595,63423,138720,114542,97931,118387,132646,134185,150788,92912,116035,142988,254773,74258,86872,98388,99343
"Pos",22692,"[M+H]+",2.311,"LPC 22:5","LPC",763141,778070,599170,1325685,1314355,975597,1051926,1141057,1239079,1303351,1124963,1078478,1053030,2082455,1063977,1140226,825900,764329
"Pos",22557,"[M+H]+",1.962,"LPC 22:6","LPC",879700,827863,667967,1463843,1415325,1094112,1249655,1424767,1497213,1508247,1317728,1332519,1166124,2297780,1310268,982308,802790,769916
"Pos",18238,"[M+H]+",3.925,"LPC O-18:1","EtherLPC",4192424,4594493,4516244,7942420,7272809,7393043,5537750,5680792,5776526,4295517,4947720,4127651,3297576,3869338,3764869,3431959,3846767,3948415
"Neg",15096,"[M-H]-",2.079,"LPE 15:0","LPE",81691,72241,81402,68317,44297,91948,68885,53589,82685,68108,44629,66324,104759,170930,91451,133107,110632,67764
"Neg",15995,"[M-H]-",2.457,"LPE 16:0 (a)","LPE",84310,111240,75323,130744,121499,87223,115436,110203,99043,52166,124637,148717,175517,277245,171743,141370,144846,74328
"Neg",15994,"[M-H]-",2.744,"LPE 16:0 (b)","LPE",678837,713077,604293,1123340,839570,829115,843240,879349,972318,874631,1004816,976923,1090553,1649758,1164280,1027492,945548,888218
"Neg",15885,"[M-H]-",1.818,"LPE 16:1 (a)","LPE",240498,242812,208693,356772,314383,265506,244965,221859,275780,283933,271654,265231,296435,690000,357853,387089,287391,237177
"Neg",15884,"[M-H]-",2.404,"LPE 16:1 (b)","LPE",0,0,0,0,0,0,0,0,0,59281,55162,57082,180918,195838,200461,94728,98240,124604
"Neg",16943,"[M-H]-",3.671,"LPE 17:0","LPE",40160,24039,9835,45925,33714,35093,42298,30414,41263,62746,78809,46065,87694,131902,72454,89432,28088,26083
"Neg",16797,"[M-H]-",2.358,"LPE 17:1","LPE",10819,8007,4711,29206,20024,6912,3645,13967,10956,23600,13852,12656,5291,51547,31896,15645,15217,5236
"Neg",18076,"[M-H]-",4.428,"LPE 18:0","LPE",131773,227054,94252,389130,134933,270956,157561,246085,295207,263032,329567,332337,234022,662455,459067,431440,417288,360272
"Neg",17891,"[M-H]-",2.81,"LPE 18:1 (a)","LPE",691052,738977,629582,881553,779694,757511,748172,728065,825604,820422,900780,831133,896620,1267128,900927,799403,767742,774723
"Neg",17892,"[M-H]-",3.122,"LPE 18:1 (b)","LPE",1987771,2153870,1594370,2985843,2367375,2062909,2005567,2054446,2519411,2354133,2487233,2493880,3116971,5107732,3181232,3025800,2583251,2268275
"Neg",17730,"[M-H]-",2.123,"LPE 18:2","LPE",119816,106765,79174,198260,113473,125726,103783,111511,120260,137512,142365,132159,156426,335012,167949,203609,147887,126697
"Neg",19749,"[M-H]-",2.575,"LPE 20:3 (a)","LPE",21646,16745,15005,43520,53682,28219,27414,17772,19842,43988,20441,47688,89118,129622,61513,55586,53987,28377
"Neg",19747,"[M-H]-",2.686,"LPE 20:3 (b)","LPE",16939,3130,4069,46523,35184,22113,18744,22108,20610,14836,26947,7135,20761,40721,23557,21300,19665,19332
"Neg",19748,"[M-H]-",2.966,"LPE 20:3 (c)","LPE",0,7799,0,7844,4317,7922,9753,6130,15472,32765,0,6537,11098,52130,7094,9280,0,4460
"Neg",19643,"[M-H]-",1.9,"LPE 20:4 (a)","LPE",526118,595306,558489,615035,692669,643522,623213,619130,695740,802773,718179,653354,556962,739993,649152,530637,552170,511054
"Neg",19644,"[M-H]-",2.055,"LPE 20:4 (b)","LPE",1096977,1086952,746772,1573774,1237926,1130691,1228529,1007941,1579025,1594613,1288255,1244281,1583773,2552744,1627576,1514487,1234248,1133316
"Neg",19509,"[M-H]-",1.129,"LPE 20:5 (a)","LPE",23695,98423,17916,10249,24452,24011,31996,35094,26826,32725,26140,20284,123367,31920,26060,15890,22559,76098
"Neg",19510,"[M-H]-",1.521,"LPE 20:5 (b)","LPE",268212,183431,158931,194354,295249,141635,160508,261602,219291,460903,310596,293059,198028,470777,322239,123175,224786,132955
"Neg",21512,"[M-H]-",3.176,"LPE 22:4","LPE",80746,17211,16599,61034,41890,38361,107803,45838,134158,183259,98868,78629,94307,130111,125011,46679,43736,48205
"Neg",21357,"[M-H]-",2.078,"LPE 22:5 (a)","LPE",248574,159505,171580,184991,227641,223937,320598,251930,364518,540592,317660,260472,207998,240186,264919,162999,168977,177577
"Neg",21353,"[M-H]-",2.262,"LPE 22:5 (b)","LPE",671283,480740,331231,632492,767237,712904,797535,609881,1120561,1487408,794229,782298,888628,1065444,848798,487848,518988,450862
"Neg",21358,"[M-H]-",2.703,"LPE 22:5 (c)","LPE",0,0,0,0,2935,0,0,0,4335,10732,2885,0,0,0,3892,0,0,0
"Neg",21185,"[M-H]-",1.808,"LPE 22:6 (a)","LPE",112637,96352,114876,177619,131215,142099,223347,213246,280673,220846,230747,231873,131061,133820,126252,92326,142611,100778
"Neg",21184,"[M-H]-",1.93,"LPE 22:6 (b)","LPE",1166071,861338,577372,935687,1250260,1037349,1104880,820998,1345518,2024161,1080996,954575,1276471,1574341,1290576,735126,627622,741449
"Neg",23155,"[M-H]-",3.676,"LPE 24:5","LPE",0,0,0,3563,0,0,0,2925,4450,19487,0,0,0,0,0,0,0,0
"Pos",13278,"[M+H]+",3.307,"LPE P-16:0","EtherLPE",5649870,6478342,5707906,8536942,6408077,6220148,6237043,6741135,7042248,8346296,10980717,9714600,12821695,18302542,14073027,9837128,8585554,8224299
"Pos",14267,"[M+H]+",4.503,"LPE P-17:0","EtherLPE",255934,237106,200918,404700,299432,294595,312660,329104,196946,388491,421818,393026,434864,719007,550038,448775,335616,193045
"Pos",15221,"[M+H]+",6.161,"LPE P-18:0","EtherLPE",2351981,2587466,2376203,3494931,2757481,2775444,2620304,3042702,1255314,3249932,4160092,3769740,4568796,6335548,4849796,3602831,3383478,3407489
"Pos",15066,"[M+H]+",3.724,"LPE P-18:1","EtherLPE",1250356,1453213,1291595,1993669,1488946,1360268,1419304,1494352,1617182,1785372,2297581,2108385,2538982,3977775,2899680,2110637,1899648,1708050
"Pos",17251,"[M+H]+",8.651,"LPE P-20:0","EtherLPE",2888540,2932172,3069813,3348984,3214427,3211259,3155769,3481885,3466083,3273604,3821618,3254934,2702768,3117603,2969958,1964093,2294006,2537002
"Pos",18244,"[M+H]+",9.268,"LPE P-21:0","EtherLPE",112726,122437,123724,150745,117183,121160,148514,133792,140531,141707,170558,137817,122252,134287,110072,80660,107266,88179
"Pos",19252,"[M+H]+",9.849,"LPE P-22:0","EtherLPE",285822,297674,310335,331672,320740,336705,317929,345677,341124,361495,385867,339250,306761,357284,313606,259460,304671,305049
"Pos",31006,"[M+H]+",10.281,"PC 12:0_16:1","PC",727379,847140,795235,1042800,984625,955824,1323326,1916395,1328358,1447646,2147269,1337482,1456683,1197736,1392882,601772,822063,1042972
"Pos",31191,"[M+H]+",11.163,"PC 14:0_14:0","PC",48542495,53464322,51350249,59724804,58258776,55321612,62546276,70117316,67652333,65874893,76712352,61782026,47751082,55053200,54495547,29930318,37418195,38938049
"Pos",33724,"[M+H]+",12.288,"PC 14:0_16:0","PC",880056200,964280739,897088932,1001643563,969070175,910772694,1007354961,1135876284,1064996802,1096266031,1293739503,1061985371,866078075,967731691,956031565,565310602,708791590,723716344
"Pos",33553,"[M+H]+",11.287,"PC 14:0_16:1","PC",110539655,120913902,116042006,131936316,127678526,124506667,135826238,150982034,146393878,146289704,168747313,143929217,116105701,128563556,129337168,78230295,95836011,102457061
"Pos",35704,"[M+H]+",10.729,"PC 14:0_18:3","PC",1483697,1845357,1796557,2118858,1991138,2000892,2360907,2554861,2373865,2597156,2966194,2559549,2172472,2368400,2342007,1652030,1896563,2008048
"Pos",38158,"[M+H]+",11.249,"PC 14:0_20:4","PC",4458288,4521283,4426011,5740740,5467062,5153091,7367710,7771993,7667621,9187539,10562727,8954936,8045946,8684831,8807392,6587581,9017085,9002897
"Pos",37948,"[M+H]+",10.551,"PC 14:0_20:5","PC",1280145,1390963,1330516,1749102,1767950,1594005,2092759,2272590,2278347,2708693,2974269,2693371,2310668,2590253,2523773,1642605,2034863,2223394
"Pos",40471,"[M+H]+",10.964,"PC 14:0_22:6","PC",5047520,5637176,5342237,6615902,3768124,5855878,7961554,8848571,8411012,9545439,5990507,9097757,7946948,8851585,9407709,5352629,4336970,7193676
"Pos",34980,"[M+H]+",12.683,"PC 15:0_16:0 (a)","PC",22439994,27881289,25216756,27765762,26472158,25554544,27226694,27828576,28592032,29248215,34406494,29267058,22272624,22625884,25157375,12855048,18906024,20098439
"Pos",34979,"[M+H]+",12.894,"PC 15:0_16:0 (b)","PC",117085928,128926642,117317093,132680545,130688533,122505650,143164556,160361901,149723513,156439384,189340559,154083934,128640366,149218199,148947651,91861531,113525466,118667450
"Pos",34790,"[M+H]+",11.838,"PC 15:0_16:1","PC",44223746,49249615,46635116,52574200,51944153,49130336,55218279,60094938,59849991,60206184,69952496,59294543,48682189,53976928,54266345,35398243,43426597,45266309
"Pos",36259,"[M+H]+",13.501,"PC 16:0_16:0 (a)","PC",1898307887,2022088584,1819198539,2076415026,2091154565,1917502562,2193205679,2383706647,2309479220,2355829923,2649679143,2282800293,1813822871,2044295000,2069438125,1156575802,1422985419,1491832276
"Pos",36269,"[M+H]+",14.453,"PC 16:0_16:0 (b)","PC",3931529,2570014,3091038,7627733,7786321,1984228,3252275,3409767,7335081,6083731,1473247,8800971,4777953,3767049,3773174,4658399,4394462,4843719
"Pos",36063,"[M+H]+",12.382,"PC 16:0_16:1 (a)","PC",3047233342,3333605812,3225672940,3497452399,3434838687,3415670245,3499361920,3938967090,3785929460,3778900675,4451101658,3750356279,3054161718,3326048920,3284783974,2002787117,2505981966,2638542410
"Pos",36073,"[M+H]+",13.648,"PC 16:0_16:1 (b)","PC",2728471,1867756,5362954,3334249,2475841,3211472,2497435,2349048,3813539,4050207,4994066,2918143,1621493,3091725,3537290,1496029,3040857,2339906
"Neg",38015,"[M+HCOO]-",9.546,"PC 16:0_16:1<OH> (a)","OxPC",0,2945,0,4822,4320,7440,8848,11582,0,0,10066,6737,10080,16638,21996,3150,0,10173
"Neg",38011,"[M+HCOO]-",12.406,"PC 16:0_16:1<OH> (f)","OxPC",347576,328894,321867,365644,336679,347438,509827,601859,529312,313509,353028,302613,287786,281303,311987,248669,346039,249870
"Pos",37645,"[M+H]+",13.94,"PC 16:0_17:0 (a)","PC",46157817,53595994,50138428,53644007,53140081,51763730,54276727,61738042,57465205,58720301,69094509,56350013,44411699,50641184,49422994,30539321,37312297,39813343
"Pos",37643,"[M+H]+",14.192,"PC 16:0_17:0 (b)","PC",32165433,33178162,32244744,36118309,35398369,33024192,37990621,43387982,41628894,44968444,52426575,44155621,37017787,41055467,41807907,26232625,32455926,34440984
"Pos",37430,"[M+H]+",12.998,"PC 16:0_17:1","PC",443683412,488104273,466563526,521962035,505923877,485022307,517794844,574136235,554169402,555458751,674344206,543916841,447943789,504072213,505867820,318585119,399104668,422662109
"Pos",38958,"[M+H]+",14.895,"PC 16:0_18:0","PC",238177988,256085835,236025210,265011308,260048286,242702809,274394660,301662611,290476529,302080970,347033641,289558169,251757427,283716078,281742436,176122759,220229865,229316452
"Pos",38747,"[M+H]+",13.586,"PC 16:0_18:1 (a)","PC",9567391361,10192932699,9744886405,10841587650,10899649758,10200116401,10661160432,11679024545,11666488372,11474942424,13034052877,11180989222,9194826984,10073998067,10359202490,6811462287,8256857405,8715970016
"Pos",38762,"[M+H]+",14.988,"PC 16:0_18:1 (b)","PC",5679016,14405802,15351629,14027527,5799983,9667085,12252641,11309504,10344140,13009423,6484032,11660331,6412020,6347222,4420130,10309323,7368845,10078623
"Pos",38759,"[M+H]+",16.525,"PC 16:0_18:1 (c)","PC",582607,577857,724233,1063398,698000,567041,520814,790960,841580,1813192,2152941,644604,786945,1002815,536462,453798,665121,794263
"Pos",38746,"[M+H]+",19.932,"PC 16:0_18:1 (d)","PC",79412,146744,116123,197966,211968,203918,207834,135184,129992,276516,218929,168850,131239,128737,212075,81534,177970,182677
"Neg",39507,"[M+HCOO]-",10.056,"PC 16:0_18:1<OH> (a)","OxPC",0,0,9611,11948,15349,3161,4391,17712,10475,23217,14224,26637,28172,52518,38212,12092,27636,11709
"Neg",39503,"[M+HCOO]-",11.09,"PC 16:0_18:1<OH> (c)","OxPC",0,0,11266,0,0,5684,34099,50110,48383,54162,69068,60024,120827,111529,157710,72988,129099,160068
"Neg",39402,"[M+HCOO]-",10.237,"PC 16:0_18:1<oxo> (b)","OxPC",0,0,0,0,3521,0,2910,0,0,9712,7794,4466,14514,28542,15707,3524,8635,28197
"Neg",39405,"[M+HCOO]-",10.424,"PC 16:0_18:1<oxo> (c)","OxPC",0,3529,0,0,0,3476,0,0,0,16864,11967,8551,25501,30202,44034,17825,18386,13206
"Pos",38338,"[M+H]+",12.07,"PC 16:0_18:3","PC",13850298,16452842,14331801,14536905,13888316,16942805,17125670,18617543,17276095,18236466,21557275,16703898,16088296,17628456,16082910,6730174,14683489,15109840
"Pos",40098,"[M+H]+",14.278,"PC 16:0_19:1","PC",252471887,234257665,224927928,290903242,286624481,230003921,289416645,319463311,308440639,317816587,369694681,304199097,219179845,277110079,276970219,182490095,225598096,246733770
"Pos",41726,"[M+H]+",16.427,"PC 16:0_20:0","PC",6724877,7314003,6675733,7997894,7879995,7403461,8082911,8688331,8293157,8556086,9808790,8357889,7049606,8143075,4903002,5112659,6313237,6718162
"Pos",40862,"[M+H]+",12.148,"PC 16:0_20:4 (a)","PC",20288928,17777744,8029963,9200849,8510873,18576779,9611675,11077391,10313356,11261242,12354247,11104975,8530157,9540054,9505630,5464292,6969894,7487289
"Pos",40860,"[M+H]+",12.333,"PC 16:0_20:4 (b)","PC",222283512,251149684,249636612,301230114,299158352,260958222,362382436,397438137,379436582,436810370,516943411,417760140,364821924,396365881,395346239,230193094,298999738,313052235
"Pos",40654,"[M+H]+",11.55,"PC 16:0_20:5 (a)","PC",58916548,65846164,61307048,73517102,73389297,72361614,90807438,98939165,93777237,110886339,131032566,106762194,85254424,94460262,96928573,48570119,61697374,64349875
"Pos",40648,"[M+H]+",12.502,"PC 16:0_20:5 (b)","PC",210594652,208757348,205493306,216100350,227115006,197671861,218324853,231767192,225198941,231772198,243563951,216840536,211377924,147926273,228343792,181373282,203164765,136583318
"Pos",43703,"[M+H]+",13.184,"PC 16:0_22:4","PC",41277693,50428496,50977395,29539104,15004728,46536657,38384973,68909455,24863737,74904651,22758262,12682484,64673500,61510288,18010697,57434910,26151544,65099731
"Pos",43519,"[M+H]+",12.368,"PC 16:0_22:5","PC",374142673,411351070,377349764,458667436,448610329,423071741,526438429,580286734,556353402,633193342,739149726,607580746,526739801,567400837,555614495,381131804,451512069,468146750
"Pos",43329,"[M+H]+",11.967,"PC 16:0_22:6 (a)","PC",129953866,144002423,135821257,161829513,158818384,146868726,181950728,198313196,196767850,210256185,245566226,203614219,165865762,178987221,176436014,90242182,118294669,118701675
"Pos",43325,"[M+H]+",12.717,"PC 16:0_22:6 (b)","PC",79989491,82012203,77855554,85813451,88880735,80399428,89110250,96994472,79500718,98264260,107495214,57247188,87930607,92350738,96285391,64033920,84877194,87811621
"Pos",46951,"[M+H]+",18.074,"PC 16:0_24:1 (a)","PC",6458510,6859946,2012814,2387591,5850003,6712782,2096040,7832645,4347154,7891129,3889163,7427544,2042030,7010164,6724272,1689686,2110361,1386500
"Pos",46953,"[M+H]+",18.147,"PC 16:0_24:1 (b)","PC",6459067,6880954,4469881,1378387,5850003,6712782,4380161,7832645,4347154,8012630,3889163,7427544,4341273,7010164,6724272,1689686,2378510,1865866
"Neg",30767,"[M-H]-",11.376,"PC 16:0_9:0<COOH> (b)","OxPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pos",35869,"[M+H]+",11.392,"PC 16:1_16:1 (a)","PC",115230883,128985228,123065182,139020512,136160633,136281321,146207723,163481373,155720813,159667938,188323578,159267434,128313641,139806112,144288252,88673398,108642704,117618782
"Pos",35871,"[M+H]+",12.002,"PC 16:1_16:1 (b)","PC",13531738,14304622,13738824,16466060,15221196,14216849,16669145,18151639,17379831,18063033,21047608,18007012,15403314,16415883,16592075,11580353,15209225,14271742
"Pos",37228,"[M+H]+",11.948,"PC 16:1_17:1","PC",36220369,40595538,36747752,44007908,42532327,40720003,46022133,51282963,51385528,50282444,59900855,49399536,41397026,46613179,46995129,29787917,37447839,39719169
"Pos",38535,"[M+H]+",12.485,"PC 16:1_18:1 (a)","PC",2136175217,2404241962,2292980444,2525917654,2427772171,2475694846,2540719462,2812196400,2691405622,2722764101,3219807004,2739672635,2148522629,2369050729,2355110993,1476872306,1852583734,1984973340
"Pos",38544,"[M+H]+",13.486,"PC 16:1_18:1 (b)","PC",18206468,21931932,21731240,18292044,22268442,18830326,23805249,23605314,25135484,24753068,21755305,21473745,7875241,21655155,20487933,12798776,18037972,17758554
"Pos",38337,"[M+H]+",11.606,"PC 16:1_18:2 (a)","PC",8324491,20362853,8953177,9652275,19307011,16910483,22580147,23501569,20077083,26799571,35586940,28080250,22277769,26034713,11618395,19341196,18190554,21654809
"Pos",38339,"[M+H]+",11.733,"PC 16:1_18:2 (b)","PC",61883761,49339521,65214080,74311904,54898052,53420802,56334465,66443354,66331905,62644408,71760214,58914613,48501537,55672338,80925704,33430157,41678241,46307054
"Pos",38334,"[M+H]+",13.457,"PC 16:1_18:2 (c)","PC",132461876,139904130,130234587,135586070,143751744,127085923,145137510,145628070,141700809,147415678,147388716,143635476,133527614,139921512,134251282,105162745,112045866,114104519
"Pos",38159,"[M+H]+",10.821,"PC 16:1_18:3","PC",2221208,2322405,2334722,2568155,2650623,2678083,2897312,3118985,3056813,3091495,3788349,2997471,2428169,2743267,2741000,1625776,1260576,2180064
"Pos",40653,"[M+H]+",11.336,"PC 16:1_20:4","PC",9833581,10706965,10225084,14967217,13335394,12278997,16526477,19427682,18727352,20956335,21999436,20553149,16880183,19123571,17931059,13107909,16136430,15971552
"Pos",40470,"[M+H]+",10.653,"PC 16:1_20:5","PC",2683492,2858625,2700134,3995283,3963060,3793810,5177589,5417934,5165233,5987230,6630871,5572693,4472432,5044763,4875636,2623426,3164159,3533366
"Pos",43330,"[M+H]+",11.367,"PC 16:1_22:5","PC",7243201,8166289,7643173,8623662,7641402,7203109,9593587,11297800,9555198,13006392,13136195,11085159,9487476,10862015,10625222,6399656,8557801,10516355
"Pos",43123,"[M+H]+",11.034,"PC 16:1_22:6","PC",17904917,20655222,19421975,26421695,25612566,22785407,32304835,36370640,34907761,37971354,46343032,36139964,27620079,31137795,31927260,15670598,20983155,22291337
"Pos",40099,"[M+H]+",14.068,"PC 17:0_18:1","PC",14973235,41741799,39134752,17736167,17358989,47915919,17562751,19642913,18345050,18366672,22972459,18386063,31506669,17140812,15699531,10413940,12868307,13899808
"Pos",39888,"[M+H]+",13.079,"PC 17:1_18:1","PC",286211010,317068931,301913161,334857075,327463803,309215260,329632138,368200992,351835078,343362303,420571627,346290491,266468526,309515074,307478737,192926147,239283344,255483665
"Pos",39684,"[M+H]+",12.176,"PC 17:1_18:2","PC",7943174,6390502,16974551,19902128,22267399,7734923,15507492,12553022,11593570,10181138,19348728,13215401,8185716,13061992,21716452,6941331,8433388,19036313
"Pos",42109,"[M+H]+",11.886,"PC 17:1_20:4","PC",4790227,5362237,5088762,6214011,6344016,5437443,7949588,8461159,8238416,9025821,10866099,8922375,8932402,8152457,8493589,5573535,6897843,7065211
"Pos",41485,"[M+H]+",14.982,"PC 18:0_18:1 (a)","PC",993201354,1079489462,1021490099,1131103117,1125966776,1070307114,1122147075,1242530580,1201923099,1208562421,1441325408,1157948563,960740485,1101355349,1082931533,680751198,858767850,900192461
"Pos",41491,"[M+H]+",15.894,"PC 18:0_18:1 (b)","PC",4469970,5207741,4051086,5454764,1246648,1250518,4461985,5092196,6458452,5397899,1620422,2762845,2316368,3742978,6176315,1889329,1058713,2106326
"Pos",44232,"[M+H]+",16.492,"PC 18:0_20:1","PC",29914048,32457615,19484806,34363792,33550437,32689190,33387802,36721069,35164451,36075340,42193413,34357838,18537270,32330173,31797283,20315259,24491807,26589832
"Pos",43877,"[M+H]+",14.167,"PC 18:0_20:3 (a)","PC",74247104,77916134,73978571,85656828,85839423,83565358,89929465,98941473,91372123,100407896,113106122,95004676,74874914,89786256,87219718,54518229,63661375,71248787
"Pos",43878,"[M+H]+",14.594,"PC 18:0_20:3 (b)","PC",10677981,12019758,11160940,12439077,12180048,11672613,12603022,14805512,14639467,14423141,16732465,12112834,12319306,14153730,12409191,6713749,8404802,10319229
"Pos",43702,"[M+H]+",13.534,"PC 18:0_20:4","PC",103800509,111522547,98840465,124935902,124008875,111162510,147287090,153413477,150802903,165790464,185807388,156600729,133168939,145863382,145590693,77922502,98912921,107889291
"Pos",43520,"[M+H]+",12.644,"PC 18:0_20:5","PC",55097767,59855758,56036943,57449594,65614389,60518913,71775772,77580492,64453454,80503715,88814867,80088076,53797057,60766311,69187800,10485197,43079884,44491803
"Pos",46234,"[M+H]+",13.531,"PC 18:0_22:5","PC",106402162,111160108,95053273,120659219,119674255,110762859,130893650,136354992,137442824,144294148,160232915,136263847,116575496,130289667,130631685,73000407,89879777,95825180
"Pos",46039,"[M+H]+",13.123,"PC 18:0_22:6","PC",73832115,79632169,72770483,85881806,84126951,78854307,90890450,100791682,97467317,97337495,116803601,92870549,74060962,85192103,84965489,38801791,50902734,56299327
"Pos",41251,"[M+H]+",13.687,"PC 18:1_18:1 (a)","PC",4884819351,5304712078,5151265662,5710919497,5606087297,5389987375,5555665230,6079114074,5963831864,5796794598,6651848077,5659055144,4510613098,5027800724,5113848835,3296576671,4029911790,4188674130
"Pos",41265,"[M+H]+",14.991,"PC 18:1_18:1 (b)","PC",5699609,7470831,4678942,11429771,8637663,9953141,11084811,5146783,6742525,4829424,12954815,12034610,4963035,6094810,4292958,3655190,4260643,5372560
"Pos",41066,"[M+H]+",12.692,"PC 18:1_18:2 (a)","PC",601892284,671942480,625561424,694516716,685486889,674958667,737516068,818789729,776492274,790249421,965489285,787015728,631212933,699640656,706046125,450431898,581047994,616776800
"Pos",41067,"[M+H]+",12.867,"PC 18:1_18:2 (b)","PC",53108924,63384867,55254596,63292181,62366341,63790789,71837608,77653149,74148330,75644765,90002045,75469118,60185530,69544593,69313564,42740295,55707972,59749844
"Pos",41068,"[M+H]+",13.268,"PC 18:1_18:2 (c)","PC",25447901,28719574,22395172,31454132,29817994,29348253,29860469,37072296,31326500,41118536,42709322,37463741,26519629,27382719,33696978,20175404,25540066,25637770
"Pos",40861,"[M+H]+",11.841,"PC 18:1_18:3","PC",31932164,37527330,35570161,40516641,38836485,40036053,43089311,48322040,48022360,51163204,55524649,50864004,37455264,41269456,41965202,26275514,29124570,31767998
"Pos",42725,"[M+H]+",14.346,"PC 18:1_19:1","PC",125178688,132934418,130331989,147742161,143330311,138085590,138551264,157651428,146985898,148737994,172345827,144884363,113099604,129204368,123229689,80108339,100313913,108802193
"Pos",42522,"[M+H]+",13.273,"PC 18:1_19:2 (a)","PC",17552650,18359097,18336267,19924198,19281742,18106765,20959195,23237665,22159647,22242923,25907707,22095891,17578095,19584241,18566028,13041364,16187571,16309439
"Pos",42521,"[M+H]+",13.478,"PC 18:1_19:2 (b)","PC",21071557,24020021,19543481,24850159,25752663,22981046,25811663,26411753,28218509,26182959,29215677,25410872,25110621,18687922,24543982,12874734,19408199,20433021
"Pos",44066,"[M+H]+",15.042,"PC 18:1_20:1 (a)","PC",322379067,353743054,339197354,376906662,370876095,362135874,361608741,403080071,388353535,379630290,450491958,364929247,284017720,332490069,322499043,205984236,260142723,274191906
"Pos",44067,"[M+H]+",15.89,"PC 18:1_20:1 (b)","PC",1275459,1228095,479990,1612261,1876658,569457,529462,614765,585491,1975004,2385768,944859,2316638,496773,875354,978149,540010,833710
"Pos",43876,"[M+H]+",13.889,"PC 18:1_20:2","PC",101592291,114884912,109591771,120181734,116149532,111483804,120351256,134675957,129872788,128382585,151764682,125650426,99650677,108428679,107947062,69412673,92349808,92943583
"Pos",43704,"[M+H]+",12.979,"PC 18:1_20:3","PC",105227910,118714453,104748628,157374723,181241142,122721948,141526810,157064663,144953390,160698316,277864726,165198286,121736469,150335172,209312369,86637301,113422145,126722160
"Pos",43328,"[M+H]+",11.63,"PC 18:1_20:5","PC",46134280,50293006,46420196,63404878,63519878,61854189,77834762,84609479,81504217,91073552,108411485,87691190,65987127,74908983,74865831,38263726,46507754,47471933
"Pos",45430,"[M+H]+",15.775,"PC 18:1_21:1","PC",3015465,6875652,6867261,7405469,7213860,3652362,7249613,7824545,7360775,7503628,7420016,6187984,4830991,6556382,5307305,3615661,5202585,4750228
"Pos",46770,"[M+H]+",16.577,"PC 18:1_22:1","PC",20346000,22118774,12382954,23468413,23026393,22818954,23016169,24500380,24121345,23982527,27986129,22662240,7498846,20731570,20301786,6086367,10681497,17094201
"Pos",46601,"[M+H]+",15.333,"PC 18:1_22:2","PC",9748226,14423668,13791781,18013642,17643220,16956801,17615004,19750991,16238748,19063632,21524095,11805835,6404115,14733940,16202968,10655260,6353016,7271167
"Pos",46235,"[M+H]+",13.307,"PC 18:1_22:4","PC",26892762,29802696,27295579,31881908,31346739,29870070,34963693,39445650,36387742,41853312,48785356,39953648,33106880,36798994,35899613,34651816,43924429,45429911
"Pos",46038,"[M+H]+",12.416,"PC 18:1_22:5 (a)","PC",142065879,177715901,160454474,184842946,163695573,152550859,186215161,202523347,194223936,235152019,241130313,231406284,191591349,186211074,183869314,127884461,163459563,172609646
"Pos",46037,"[M+H]+",12.682,"PC 18:1_22:5 (b)","PC",19197823,6466736,5665715,6811963,20560997,22450749,22447252,25351580,25646956,8267814,31944794,7812509,6135240,19914624,22424992,3670910,4885274,5003850
"Pos",45831,"[M+H]+",12.034,"PC 18:1_22:6","PC",112600950,124415348,115939463,141290069,140706932,130818693,159188121,172842468,168723658,174856570,205914500,170906651,132514340,144991701,141560883,73066581,95134603,97365315
"Pos",49494,"[M+H]+",18.212,"PC 18:1_24:1","PC",3797326,8665731,8299475,9517269,9138786,4461749,9087647,9810233,9265830,9926316,11603891,9041917,7014955,8770652,8330186,2434869,6625508,2955489
