SPECTRUM - MS
D:\KP4_cells\20260221_Neg_FentonQC_PRM_1.raw
 FTMS - p ESI Full ms2 832.5345@hcd30.00 [57.9865-869.7972] 
Scan #:2230 
RT: 9.28 
AV: 1 
Data points: 642
Mass,Intensity
57.4095924479322,0
57.4098535126959,0
57.4101145792403,0
57.4103756475656,0
65.1188610017661,0
65.1191763804227,0
65.1194917613704,0
65.1198071446093,0
65.1201225301394,128.11540222168
65.1204379179606,253.113311767578
65.1207533080732,320.200012207031
65.1210687004769,282.5283203125
65.121384095172,168.738616943359
65.1217462793016,0
65.1220616785793,0
65.1223770801483,0
65.1226924840087,0
75.6534586216747,0
75.6538535474396,0
75.6542484762969,0
75.6546434082467,0
75.655038343289,155.050323486328
75.6554332814237,283.91064453125
75.655828222651,334.066986083984
75.6562231669709,274.88671875
75.6566181143834,155.25505065918
75.6570231862694,0
75.6574181398671,0
75.6578130965576,0
75.6582080563408,0
78.9563164034152,0
78.9567374718582,0
78.9571585436695,0
78.9575796188491,0
78.9580006973971,128.377807617188
78.9584217793136,317.065063476563
78.9588428645985,494.678680419922
78.9592639532519,534.354125976563
78.9596850452738,402.681549072266
78.9601061406644,196.598434448242
78.9605754711062,0
78.960996573234,0
78.9614176787304,0
78.9618387875956,0
100.386365249782,0
100.386968899581,0
100.387572554824,0
100.388176215513,0
100.388779881646,250.752029418945
100.389383553225,315.577514648438
100.389987230248,329.092315673828
100.390590912717,278.391967773438
100.391194600632,178.626358032227
100.391655289585,0
100.39225898839,0
100.39286269264,0
100.393466402336,0
100.928674953076,0
100.929283502375,0
100.929892057177,0
100.930500617484,0
100.931109183294,4.77231407165527
100.931717754609,361.959289550781
100.932326331428,1380.666015625
100.932934913751,2478.54931640625
100.933543501579,3326.17138671875
100.93415209491,2665.14453125
100.934760693747,1576.08276367188
100.935369298087,578.906677246094
100.935977907933,175.507278442383
100.936586523283,51.5128364562988
100.937344914719,0
100.937953541078,0
100.938562172943,0
100.939170810312,0
101.929968213914,0
101.93058584026,0
101.931203472219,0
101.931821109791,0
101.932438752978,226.899490356445
101.933056401778,446.894592285156
101.933674056192,589.317077636719
101.934291716221,545.615234375
101.934909381863,347.367218017578
101.935527053119,132.377487182617
101.936174538802,0
101.936792221287,0
101.937409909386,0
101.9380276031,0
112.981042258642,0
112.981763003499,0
112.982483755252,0
112.983204513902,0
112.983925279449,198.410430908203
112.984646051894,367.530914306641
112.985366831236,483.786804199219
112.986087617475,477.254852294922
112.986808410611,353.146484375
112.987529210645,184.86701965332
112.988248355573,0
112.988969169402,0
112.989689990129,0
112.990410817754,0
115.476477492749,0
115.47722224799,0
115.477967010437,0
115.478711780089,0
115.479456556945,151.74934387207
115.480201341007,280.558868408203
115.480946132274,357.263549804688
115.481690930746,338.537261962891
115.482435736424,245.420196533203
115.48318875522,0
115.483933575309,0
115.484678402604,0
115.485423237105,0
117.472610136734,0
117.473374286038,0
117.474138442799,0
117.474902607015,0
117.475666778688,213.963073730469
117.476430957818,324.735992431641
117.477195144403,340.611572265625
117.477959338446,258.958526611328
117.478723539945,137.904693603516
117.479498231286,0
117.480262447699,0
117.481026671569,0
117.481790902896,0
126.5079702539,0
126.50882423909,0
126.509678232928,0
126.510532235413,0
126.511386246545,249.002685546875
126.512240266325,363.513702392578
126.513094294753,373.386566162109
126.513948331828,271.595642089844
126.514802377552,127.15966796875
126.515660053429,0
126.516514116449,0
126.517368188117,0
126.518222268433,0
