SPECTRUM - MS
E:\JOSH\2. RISOP PROJECT\1. MS-DIAL run\Neg\Neg_ML210_270min_2.raw
 FTMS - p ESI d Full ms2 752.5228@hcd30.00 [52.5457-788.1853] 
Scan #:6321 
RT: 13.02 
AV: 1 
Data points: 635
Mass,Intensity
52.0229881602948,0
52.0232133587148,0
52.0234385585971,0
52.0236637599417,0
58.9746585406219,0
58.9749303541494,0
58.9752021695559,0
58.9754739868418,0
58.9757458060068,151.125701904297
58.9760176270511,305.682983398438
58.9762894499746,384.532531738281
58.9765612747774,332.890502929688
58.9768331014595,188.753356933594
58.9771051149176,0
58.9773769453584,0
58.9776487776785,0
58.9779206118779,0
59.0119146925877,0
59.0121867637258,0
59.0124588367455,0
59.0127309116468,0
59.0130029884297,42.3807258605957
59.0132750670942,444.793487548828
59.0135471476403,1010.48614501953
59.0138192300681,1605.00793457031
59.0140913143776,1589.59643554688
59.0143634005687,1025.94836425781
59.0146354886415,489.213287353516
59.0149075785961,138.988510131836
59.0151907342245,0
59.0154628279425,0
59.0157349235424,0
59.016007021024,0
60.3364869008501,0
60.3367681834781,0
60.3370494680732,0
60.3373307546352,0
60.3376120431643,206.110290527344
60.3378933336603,317.818206787109
60.3381746261235,362.285064697266
60.3384559205537,305.349487304688
60.338737216951,174.865997314453
60.3390979474686,0
60.3393792478001,0
60.3396605500988,0
60.3399418543646,0
74.2243971894498,0
74.2247809788457,0
74.2251647712183,0
74.2255485665675,0
74.2259323648936,186.746383666992
74.2263161661964,331.783264160156
74.226699970476,394.649322509766
74.2270837777325,331.740081787109
74.2274675879658,187.922592163086
74.2278594592701,0
74.2282432754572,0
74.2286270946214,0
74.2290109167626,0
78.3273852691094,0
78.3278013172142,0
78.3282173686338,0
78.3286334233683,0
78.3290494814178,195.680969238281
78.3294655427822,364.563323974609
78.3298816074617,437.028350830078
78.3302976754563,353.580993652344
78.3307137467659,176.760650634766
78.3310072248227,0
78.3314233027626,0
78.3318393840177,0
78.3322554685881,0
78.9559235768793,0
78.9563446438978,0
78.9567657142846,0
78.9571867880398,0
78.9576078651633,98.8260726928711
78.9580289456552,625.74951171875
78.9584500295156,1440.52722167969
78.9588711167445,2310.39282226563
78.9592922073419,2413.28637695313
78.9597133013078,1623.10192871094
78.9601343986424,847.394836425781
78.9605554993456,272.210144042969
78.9609766034174,106.27237701416
78.9615326838589,0
78.9619537946682,0
78.9623749088462,0
78.9627960263931,0
83.6113839557412,0
83.6118428064271,0
83.6123016608902,0
83.6127605191306,0
83.6132193811482,0
83.6136782469432,0
83.6141371165156,0
83.6145959898654,0
83.6150548669927,0
83.6155137478975,0
83.6159726325798,0
83.6164315210397,0
83.6168904330387,0
83.617349329054,0
83.6178082288469,0
83.6182671324176,0
83.6187260397661,0
83.6191849508924,0
83.6196438657966,0
83.6201027844787,0
83.6205807237018,0
83.6210396499399,0
83.621498579956,0
83.6219575137502,0
90.7093521128931,0
90.7098706162157,0
90.7103891239839,0
90.710907636198,0
90.711426152858,182.399566650391
90.7119446739638,329.52978515625
90.7124631995157,426.657592773438
90.7129817295135,426.273803710938
90.7135002639574,329.588470458984
90.7140188028473,182.88703918457
90.7145596704513,0
90.7150782182337,0
90.7155967704623,0
90.7161153271372,0
100.92969600033,0
100.930304558578,0
100.930913122329,0
100.931521691585,0
100.932130266345,208.634826660156
100.93273884661,672.689147949219
100.933347432378,1175.82275390625
100.933956023651,1406.63513183594
100.934564620429,1002.28619384766
100.93517322271,533.638854980469
100.935781830497,152.6767578125
100.93640130784,0
100.937009926636,0
100.937618550936,0
100.938227180742,0
103.409310371377,0
103.40994149319,0
103.410572620781,0
103.41120375415,0
103.411834893297,179.804885864258
103.412466038221,345.12548828125
103.413097188924,412.611053466797
103.413728345405,335.427917480469
103.414359507664,176.011566162109
103.414692502375,0
103.415323676191,0
103.415954855785,0
103.416586041158,0
140.004148152083,0
140.0051423836,0
140.006136625707,0
140.007130878406,0
140.008125141696,88.9896087646484
140.009119415576,974.242614746094
140.010113700049,2431.04858398438
140.011107995112,4000.46313476563
140.012102300768,4279.1181640625
140.013096617015,2880.02294921875
140.014090943854,1487.01062011719
140.015085281285,510.904876708984
140.016079629309,244.993896484375
140.017435728121,422.997833251953
140.01843009733,289.376373291016
140.019426195945,0
140.020420586339,0
140.021414987326,0
140.022409398907,0
140.476967244159,0
140.477966512609,0
140.478965791721,0
140.479965081496,0
140.480964381933,192.042556762695
140.481963693033,333.147064208984
140.482963014796,393.693359375
140.483962347222,330.966033935547
140.484961690312,188.115493774414
140.485963534829,0
140.486962899245,0
