"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Pos",20814,"[M+H]+",1.923,"LPC 20:4 (a)","LPC",1694323,1776148,1587770,1248669,1299857,1159729,1023597,748583,1263362,1842438,1772466,1867995,3922713,3532955,3805638,6357315,8095285,7916220
"Pos",20813,"[M+H]+",2.09,"LPC 20:4 (b)","LPC",3154759,4514444,2359818,3042724,2275732,1910668,1812377,1585075,1762965,4292102,4045357,4990538,14322709,14140462,15530828,29117440,37524891,33540820
"Pos",20691,"[M+H]+",1.557,"LPC 20:5","LPC",945997,1512330,718997,908222,610884,560423,566312,440051,572539,1902762,1741291,2234831,5798272,5659730,6017341,10241928,13286516,12035437
"Pos",22815,"[M+H]+",3.23,"LPC 22:4","LPC",339273,405164,151816,184826,227671,195803,229902,94325,86387,681050,588076,594426,2064589,2145516,1973834,4838602,6240990,5553481
"Pos",22692,"[M+H]+",2.311,"LPC 22:5","LPC",2725408,3705216,2251264,2612374,1919413,1716048,1615857,1320197,1710536,4020506,3666264,4348877,12608653,12502476,13293701,25305963,32380780,29137566
"Pos",22557,"[M+H]+",1.962,"LPC 22:6","LPC",3088243,4024806,2477768,2820401,2255643,2037351,2156366,1715894,2324690,5163655,4862612,5935776,14003142,14072026,15076042,25701446,32933174,29410274
"Pos",18238,"[M+H]+",3.925,"LPC O-18:1","EtherLPC",14455283,15843573,13888522,12525269,12950857,12330228,24410416,15664929,28799079,41997726,42486469,42815614,60776833,52768049,60686523,66141116,86981913,73063346
"Neg",15096,"[M-H]-",2.079,"LPE 15:0","LPE",33859,122690,22713,31335,11920,15734,25866,47262,34911,19662,43380,28879,28461,39477,23428,39338,31210,57438
"Neg",15995,"[M-H]-",2.457,"LPE 16:0 (a)","LPE",108876,440430,54894,135076,37933,56362,93137,187641,193414,224277,428777,279751,680558,587516,705792,934138,1203844,1460534
"Neg",15994,"[M-H]-",2.744,"LPE 16:0 (b)","LPE",1016939,2342653,660619,1029107,677650,659155,866762,1426280,2049930,2042547,3647298,2090995,2829468,4619547,2742556,7748653,8732447,10432824
"Neg",15885,"[M-H]-",1.818,"LPE 16:1 (a)","LPE",132569,771592,108222,313785,156403,95301,117300,201259,242395,332410,723690,427769,1861746,1567055,1809723,3129947,2133233,4541872
"Neg",15884,"[M-H]-",2.404,"LPE 16:1 (b)","LPE",0,3045,0,0,0,0,0,0,0,15143,19097,10513,76345,74653,92770,196421,245884,304088
"Neg",16943,"[M-H]-",3.671,"LPE 17:0","LPE",75977,131019,35145,67268,45590,24217,53560,66932,110000,127099,242360,134762,196595,347023,386246,583442,637935,871884
"Neg",16797,"[M-H]-",2.358,"LPE 17:1","LPE",27462,84509,7399,19491,3879,9341,15320,31302,22315,46411,110860,69202,239030,202486,209008,392015,483132,579546
"Neg",18076,"[M-H]-",4.428,"LPE 18:0","LPE",264509,501707,60730,206966,70605,114836,161311,140536,309250,400015,642673,207366,1512485,1302471,1509048,2110171,2513184,3365470
"Neg",17891,"[M-H]-",2.81,"LPE 18:1 (a)","LPE",1077856,2021320,718470,1135374,755638,676620,650167,1230674,1551215,1372359,2583060,1517091,2756382,2370083,2317733,3557278,2471531,5027794
"Neg",17892,"[M-H]-",3.122,"LPE 18:1 (b)","LPE",2222527,4714976,1352170,2859711,1483196,1412330,1686055,2886106,3587948,4180158,6843180,4305087,14817343,11675144,12806427,11474839,25214974,29903417
"Neg",17730,"[M-H]-",2.123,"LPE 18:2","LPE",112684,350453,55159,107471,45732,30973,41615,101441,68520,160035,227793,190862,648459,644260,678054,1382007,1574108,2012721
"Neg",19749,"[M-H]-",2.575,"LPE 20:3 (a)","LPE",46294,64184,12349,26658,14208,11151,11945,75189,22606,68060,82978,80586,549527,665962,454423,720167,825395,1120408
"Neg",19747,"[M-H]-",2.686,"LPE 20:3 (b)","LPE",34229,111960,16005,51841,41812,28618,30598,45140,31088,94896,148551,186902,549527,158931,352939,774716,864625,887155
"Neg",19748,"[M-H]-",2.966,"LPE 20:3 (c)","LPE",13192,23577,7639,24007,4398,1462,3501,36256,21164,84166,77356,94701,392879,333629,399143,741129,784736,915735
"Neg",21587,"[M-H]-",1.124,"LPE 20:3<oxo>","OxLPE",0,0,0,5527,0,0,2301,0,0,9993,20858,28713,66622,62859,62676,284402,269108,343442
"Neg",19643,"[M-H]-",1.9,"LPE 20:4 (a)","LPE",1108199,1452500,734084,898362,704777,730119,780127,1022918,1786402,1610051,3185353,1764252,3103543,1103299,1271837,1697589,1958100,2668243
"Neg",19644,"[M-H]-",2.055,"LPE 20:4 (b)","LPE",836693,3748098,356168,1131995,727280,461057,640833,1497532,1405524,2625012,5412320,3066464,12299441,13793686,14950871,25726173,27712022,36699558
"Neg",19509,"[M-H]-",1.129,"LPE 20:5 (a)","LPE",255745,374825,113111,248375,218760,160834,192485,337445,390368,619838,1089846,733083,2068721,2054804,1859756,3450366,4000069,4018935
"Neg",19510,"[M-H]-",1.521,"LPE 20:5 (b)","LPE",154423,349791,70481,206121,112456,91157,125170,273731,457173,644376,1409131,1005338,2983885,2536739,3009769,5415630,5100275,7067645
"Neg",21512,"[M-H]-",3.176,"LPE 22:4","LPE",62967,119413,16912,111248,24647,21123,67145,154054,60877,362118,669012,400341,2001143,1538081,1591697,3030473,3600152,4450442
"Neg",21357,"[M-H]-",2.078,"LPE 22:5 (a)","LPE",562744,855643,369000,396820,528029,370294,449165,1115745,1233910,1555015,3403772,1668984,2555652,2164593,2372052,3393258,4053687,4598331
"Neg",21353,"[M-H]-",2.262,"LPE 22:5 (b)","LPE",382422,1581874,243201,808031,409685,367465,574525,1486970,1100843,2751021,5571078,3317126,13448167,12096492,11587521,21760692,23054434,32448034
"Neg",21358,"[M-H]-",2.703,"LPE 22:5 (c)","LPE",3768,9927,1720,11957,1442,847,4721,8006,4907,66900,113630,25234,160878,82026,205926,383988,524838,549104
"Neg",23235,"[M-H]-",1.122,"LPE 22:5<OH>","OxLPE",0,0,0,0,2407,0,0,4217,3730,21117,14440,17633,66111,57077,66057,257729,259853,308323
"Neg",21185,"[M-H]-",1.808,"LPE 22:6 (a)","LPE",633946,1501814,363101,205484,447583,157303,515888,1795895,472790,653692,1301038,733388,1518395,1283115,1281936,2079252,2301958,2875484
"Neg",21184,"[M-H]-",1.93,"LPE 22:6 (b)","LPE",768310,1523688,292863,1404954,491520,914250,762955,1367326,2953495,5229472,10344114,5920840,18297897,15713614,17897552,27809122,31032499,40793483
"Neg",23155,"[M-H]-",3.676,"LPE 24:5","LPE",0,6836,1484,2520,0,0,5973,27489,0,64849,107196,78962,188090,272718,311565,597740,620477,827200
"Pos",13278,"[M+H]+",3.307,"LPE P-16:0","EtherLPE",20027000,31211517,15734134,20133535,15622213,13410183,13854249,9417584,14527450,22107955,20606335,24236953,30534844,28364162,33273871,20451373,25554983,23108251
"Pos",14267,"[M+H]+",4.503,"LPE P-17:0","EtherLPE",633328,936633,622864,704247,548654,601783,433798,370783,598444,721533,666729,710563,875738,845738,930727,609288,821984,752520
"Pos",15221,"[M+H]+",6.161,"LPE P-18:0","EtherLPE",7647083,11108274,6536581,7571776,6218538,5673706,5446903,3574841,5926298,7467374,7463844,8258732,10102967,8836439,10336646,6277903,7788600,7140088
"Pos",15066,"[M+H]+",3.724,"LPE P-18:1","EtherLPE",4157565,6409171,3226542,3966727,3172466,2867229,2849811,1969616,3080907,4780745,4322135,4953284,6568716,6066278,7053098,4274222,5286573,4803554
"Pos",17251,"[M+H]+",8.651,"LPE P-20:0","EtherLPE",7192840,7364474,7155221,6343273,6313908,5683947,5721192,3350061,6363934,6005341,6222590,5985719,6140998,5235183,5529571,4005234,4980404,4357407
"Pos",18244,"[M+H]+",9.268,"LPE P-21:0","EtherLPE",335608,316040,309490,307291,274943,261659,236915,161210,296579,251635,260651,273657,280606,269608,271695,172406,252234,193757
"Pos",19252,"[M+H]+",9.849,"LPE P-22:0","EtherLPE",762650,822585,777147,713769,630505,620598,568912,373828,669442,646343,670522,618767,612699,533068,545455,388658,442901,374570
"Pos",31006,"[M+H]+",10.281,"PC 12:0_16:1","PC",3123103,3170936,3032928,2777852,2736595,2710407,2520277,1352480,2943857,2492377,2390979,2710004,2452901,1928657,2276176,1878733,2314487,2095551
"Pos",31191,"[M+H]+",11.163,"PC 14:0_14:0","PC",180280086,167898603,172922676,153278581,152029955,137350883,122017853,58113115,142411102,121535575,115186875,117926687,116800343,93836996,102058128,82436045,107511196,93777566
"Pos",33724,"[M+H]+",12.288,"PC 14:0_16:0","PC",2176506641,2068890676,2073522917,1887479359,1844391017,1760907304,1457769974,860852279,1704937802,1454197646,1460445835,1398674482,1375684827,1200499730,1270538644,1074332146,1323924149,1176333652
"Pos",33553,"[M+H]+",11.287,"PC 14:0_16:1","PC",423875032,402673708,398522487,358450196,362757981,337238612,317569782,159499667,361298953,329738339,330076712,332716876,331693755,268908884,288778753,242846186,309148396,265542353
"Pos",35704,"[M+H]+",10.729,"PC 14:0_18:3","PC",1422177,1418324,1380635,1285066,1267678,1266387,1118686,3894558,8221080,1028691,1125878,1197238,1046683,941333,1164525,865290,6486752,5646031
"Pos",38158,"[M+H]+",11.249,"PC 14:0_20:4","PC",12124322,11682700,11616716,10272677,10401452,9688792,8330585,4323045,10638613,9451492,9372321,8948215,9114321,7261125,8100528,5695067,7894578,7030918
"Pos",37948,"[M+H]+",10.551,"PC 14:0_20:5","PC",3931174,3561190,3699686,3207762,3154106,3061300,2883754,1473989,3244399,2963730,2883028,2831397,2940476,2167821,2507370,1853285,2483812,2357539
"Pos",40471,"[M+H]+",10.964,"PC 14:0_22:6","PC",13951052,12702296,13386989,11733003,11754542,10308067,9396001,4472607,10627862,10573662,10467728,9651029,10396687,7715677,8520324,6391811,8617656,7324705
"Pos",34980,"[M+H]+",12.683,"PC 15:0_16:0 (a)","PC",90635909,87271297,84657812,73032500,78203261,71116965,60913601,31446804,73379022,71240833,72575266,71416590,69659334,54768055,63085028,47122528,64570345,56675181
"Pos",34979,"[M+H]+",12.894,"PC 15:0_16:0 (b)","PC",299018669,283834159,281722163,253873662,247992793,228624326,181681273,105511254,230265942,193228115,199061515,191884477,190272599,156230161,171028796,141033155,175706711,158723378
"Pos",34790,"[M+H]+",11.838,"PC 15:0_16:1","PC",152273352,145694894,137818744,126388625,124682034,116250216,103786659,55327364,124364859,117633106,115014154,114900341,114181354,91130414,100793586,83697604,106870765,92820007
"Pos",36259,"[M+H]+",13.501,"PC 16:0_16:0 (a)","PC",4244648175,4074332314,4010021246,3745934366,3588953737,3435040228,2694071517,1727597256,3086709243,2665250001,2556820999,2586148188,2621567857,2180399452,2326178076,1982079370,2364858224,2247040724
"Pos",36269,"[M+H]+",14.453,"PC 16:0_16:0 (b)","PC",2192095,3800489,5470359,2601499,3062358,5775987,3404456,3103569,11307656,6684006,2693848,2595546,2441872,3377445,3094712,2411084,1952154,2084501
"Pos",36063,"[M+H]+",12.382,"PC 16:0_16:1 (a)","PC",9962860605,9666950646,9641297003,8878634869,8671868949,8347249282,7367451548,4344547300,8607813846,8196331948,8368206581,8153252155,8222145220,6849490033,7167626011,6352602823,7762790589,6762929605
"Pos",36073,"[M+H]+",13.648,"PC 16:0_16:1 (b)","PC",5238851,8198183,5134107,9162124,2254151,4988836,5836602,2971592,3224341,3809936,5656288,5892225,4859234,2551869,2463709,6705817,4798448,3577406
"Neg",38015,"[M+HCOO]-",9.546,"PC 16:0_16:1<OH> (a)","OxPC",63536,56969,34607,67676,42183,19915,9960,13508,50035,50645,8224,55611,45457,38030,25301,55213,55420,74052
"Neg",38013,"[M+HCOO]-",9.972,"PC 16:0_16:1<OH> (b)","OxPC",5161,16389,27732,6528,0,28058,5018,0,5566,17881,15961,22896,30525,20459,26408,37196,20840,40735
"Neg",38014,"[M+HCOO]-",10.188,"PC 16:0_16:1<OH> (c)","OxPC",15113,3032,10343,8340,11258,28659,19292,14338,8504,232299,226910,278057,379492,294163,374536,743707,910513,728275
"Neg",38016,"[M+HCOO]-",10.532,"PC 16:0_16:1<OH> (d)","OxPC",0,0,0,5413,3594,0,0,0,5240,12276,8361,18126,4922,6907,5336,11829,17614,20573
"Neg",38012,"[M+HCOO]-",11.055,"PC 16:0_16:1<OH> (e)","OxPC",11569,0,23987,12220,0,0,158809,0,4838,9611,0,4205,15515,0,12122,19984,10229,25429
"Neg",38011,"[M+HCOO]-",12.406,"PC 16:0_16:1<OH> (f)","OxPC",839407,890546,932299,832451,662142,863864,720367,367899,660665,733558,647983,850877,918215,905388,1091263,672366,734668,630181
"Neg",38918,"[M+HCOO]-",9.534,"PC 16:0_16:1<OOH>","OxPC",0,4648,3416,7207,0,3775,12417,2475,11582,223627,157217,236149,330040,269117,333483,618282,693772,654788
"Neg",37901,"[M+HCOO]-",9.448,"PC 16:0_16:1<oxo> (a)","OxPC",0,0,6142,4579,0,0,0,0,0,5424,4068,12078,10373,12333,12980,59967,51863,40650
"Neg",37903,"[M+HCOO]-",9.578,"PC 16:0_16:1<oxo> (b)","OxPC",4198,0,0,4579,4090,0,0,0,0,4164,4429,0,7689,5486,9218,24347,20567,24094
"Neg",37902,"[M+HCOO]-",9.785,"PC 16:0_16:1<oxo> (c)","OxPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4864,4350,4422,0
"Pos",37645,"[M+H]+",13.94,"PC 16:0_17:0 (a)","PC",170102670,160962670,159710611,139683453,136599247,133262573,104487001,58761864,129181444,118558878,122433870,121589495,120832368,99978348,102611346,89073809,107932778,97486706
"Pos",37643,"[M+H]+",14.192,"PC 16:0_17:0 (b)","PC",79914799,75640674,72885320,64592787,67777725,62895995,41581884,26801496,53292395,47236558,49005749,46916545,37941230,36136789,42546669,30003681,44204180,37353183
"Pos",37430,"[M+H]+",12.998,"PC 16:0_17:1","PC",1427823316,1392854660,1373692727,1238030669,1221714975,1122404738,953198246,502799437,1174051862,1098647201,1113087063,1106925863,1105642406,892438723,930275003,797660060,1018532189,878868973
"Pos",38958,"[M+H]+",14.895,"PC 16:0_18:0","PC",653465528,642219422,631172230,565509184,536167091,526839430,339679421,213369762,413027777,360066008,366069861,372464345,365090703,293817223,319516043,256808858,333237687,299126489
"Pos",38747,"[M+H]+",13.586,"PC 16:0_18:1 (a)","PC",24093177318,23334188453,23081941247,21753841545,20938041301,20004782715,17621867637,10939241689,20235565844,19657479404,19572328049,19647054693,19562094850,16156344941,17193436777,15141553838,18125433674,16649548657
"Pos",38762,"[M+H]+",14.988,"PC 16:0_18:1 (b)","PC",19062320,25820027,8165695,14516056,7368984,11955173,5727363,9557311,5550106,23420436,32883233,15014581,35814799,11203926,35374059,9637573,9009649,23955031
"Pos",38759,"[M+H]+",16.525,"PC 16:0_18:1 (c)","PC",1273646,2082881,3038018,2625978,3923265,1813106,1165156,681795,1300704,2301334,658308,2508284,2094651,1184482,2495870,1017769,2295159,1388559
"Pos",38746,"[M+H]+",19.932,"PC 16:0_18:1 (d)","PC",405920,613025,403065,215848,505649,397908,278049,366529,325798,332118,399733,319684,329536,123054,175154,387306,557591,453003
"Neg",39507,"[M+HCOO]-",10.056,"PC 16:0_18:1<OH> (a)","OxPC",169119,153119,187547,187645,75993,122046,98170,53207,150630,126121,134070,180266,246919,91100,145340,89126,82201,159864
"Neg",39504,"[M+HCOO]-",10.848,"PC 16:0_18:1<OH> (b)","OxPC",6518,4576,0,0,11173,13849,12956,12251,27785,45521,69447,86743,195773,148716,157110,259970,348527,294746
"Neg",39503,"[M+HCOO]-",11.09,"PC 16:0_18:1<OH> (c)","OxPC",118199,117184,150629,165833,168278,144100,207849,68830,171189,523468,457788,650757,924677,769582,1001899,1348111,1732290,1681425
"Neg",40332,"[M+HCOO]-",9.999,"PC 16:0_18:1<OOH> (a)","OxPC",0,0,0,12050,5085,4970,6590,3081,8463,101100,84293,113300,167841,126333,175690,331949,443022,334200
"Neg",40333,"[M+HCOO]-",10.247,"PC 16:0_18:1<OOH> (b)","OxPC",4941,3663,7406,8837,4837,16856,19493,6911,22706,160313,183985,236684,352403,344715,285322,557288,852247,550228
"Neg",40331,"[M+HCOO]-",10.373,"PC 16:0_18:1<OOH> (c)","OxPC",0,3663,7406,33745,13030,8868,36975,22079,26573,268906,247823,357085,510135,341769,454875,865350,998122,1031908
"Neg",39403,"[M+HCOO]-",10.09,"PC 16:0_18:1<oxo> (a)","OxPC",13467,22615,3324,11802,17969,13272,6203,5378,3562,76272,52575,70720,102685,96501,110078,209521,191196,172464
"Neg",39402,"[M+HCOO]-",10.237,"PC 16:0_18:1<oxo> (b)","OxPC",15289,4244,6930,16314,21349,25893,58516,17674,55508,225008,227309,287488,534003,389481,419468,778152,1002484,812390
"Neg",39405,"[M+HCOO]-",10.424,"PC 16:0_18:1<oxo> (c)","OxPC",21781,7040,9425,32520,24296,21122,16004,6036,41425,62855,79090,87725,166789,156752,204130,230046,209454,228276
"Neg",39401,"[M+HCOO]-",10.657,"PC 16:0_18:1<oxo> (d)","OxPC",0,0,0,0,0,0,0,0,4637,3853,11867,4856,36447,27765,17755,17675,25298,122444
"Neg",39407,"[M+HCOO]-",10.959,"PC 16:0_18:1<oxo> (e)","OxPC",0,0,0,0,5924,0,0,0,0,3839,0,0,10653,0,0,0,8449,0
"Pos",38338,"[M+H]+",12.07,"PC 16:0_18:3","PC",35431350,36190050,37800015,28666642,27602839,29465778,25197095,13062549,29918689,29903478,29873355,30594503,29995666,24510029,26478815,21211465,26991572,22922430
"Neg",40104,"[M+HCOO]-",9.214,"PC 16:0_18:3<2OH>","OxPC",0,0,0,0,0,0,0,0,0,0,4108,10405,0,0,9240,26041,21728,13927
"Pos",40098,"[M+H]+",14.278,"PC 16:0_19:1","PC",605989100,570077371,560067055,503626330,617812704,480540184,371147489,201642449,473558673,445251531,449832183,440916813,449989795,345369532,372167029,301601492,502413363,372172887
"Neg",42220,"[M+HCOO]-",12.841,"PC 16:0_19:4<OH,oxo,OOH>","OxPC",0,0,0,0,0,33142,0,0,0,0,0,0,10314,9374,11946,0,0,0
"Pos",41726,"[M+H]+",16.427,"PC 16:0_20:0","PC",17999592,17738848,17054515,15623168,15109944,14024441,9111057,6102457,10935260,10325501,10227943,10454523,10444252,8711557,9090555,7132671,9542542,8459439
"Pos",40862,"[M+H]+",12.148,"PC 16:0_20:4 (a)","PC",50957806,54315356,62302151,19052640,43902824,19266722,15017381,8030586,51285118,17653786,17844137,48538609,17979953,31713244,15707618,11863451,16013585,28783289
"Pos",40860,"[M+H]+",12.333,"PC 16:0_20:4 (b)","PC",524948087,495741504,493986205,496784522,442876789,467467092,398501881,227082853,427247190,475163177,477369633,408262818,446650456,337457042,401461509,308564816,405107152,332108884
"Pos",40654,"[M+H]+",11.55,"PC 16:0_20:5 (a)","PC",166617016,157007973,157255042,136391735,134877788,127468541,109729708,58744869,142146147,131681808,132429586,123022621,127066698,97883934,110679286,78619027,109531219,95172075
"Pos",40648,"[M+H]+",12.502,"PC 16:0_20:5 (b)","PC",308255514,292599646,280575162,286840288,297871055,287452856,293398657,246730009,277471501,275404748,263944927,263726581,266995333,254665901,245210378,192561841,274279538,266385462
"Pos",43703,"[M+H]+",13.184,"PC 16:0_22:4","PC",69582801,54160705,21885235,22356839,81073077,85824119,33244448,10178150,80282009,13693555,31818101,20838486,20500148,16600062,42743331,14341196,74569709,39465069
"Pos",43519,"[M+H]+",12.368,"PC 16:0_22:5","PC",775659964,716105345,726826769,668458996,651369354,624439427,519568167,302947388,616128223,606355460,628133785,584297296,583108398,491221951,518554693,414647745,535598397,477408042
"Pos",43329,"[M+H]+",11.967,"PC 16:0_22:6 (a)","PC",315963998,295741616,288832455,261037418,255215903,237975420,194073982,103218361,246803002,233817421,229545166,219882581,217697421,173962189,186418729,135279743,187395418,161266258
"Pos",43325,"[M+H]+",12.717,"PC 16:0_22:6 (b)","PC",67899519,73541832,67072697,66896896,63902499,61423377,110129371,49923237,58595236,57280405,60450247,44452847,53939831,51769551,54657886,54595796,62070984,100999253
"Pos",46951,"[M+H]+",18.074,"PC 16:0_24:1 (a)","PC",16955593,1755460,6230161,1650579,5713219,1505641,2681506,645752,1072227,1082613,5787187,1110708,7771646,4171153,3591071,3046470,3258660,3895650
"Pos",46953,"[M+H]+",18.147,"PC 16:0_24:1 (b)","PC",17191902,17286239,6610623,15273357,5713219,7770609,2681506,3830119,10839030,5277673,5787187,11598569,7771646,4171153,3591071,3404662,4392105,9065694
"Neg",30770,"[M-H]-",4.455,"PC 16:0_9:0<COOH> (a)","OxPC",3002,0,0,0,0,0,1922,3318,0,0,0,0,2946,0,0,0,1764,0
"Neg",30767,"[M-H]-",11.376,"PC 16:0_9:0<COOH> (b)","OxPC",0,0,5870,0,0,0,0,0,0,0,0,9420,0,0,0,0,0,0
"Neg",32409,"[M+HCOO]-",6.195,"PC 16:0_9:0<oxo> (a)","OxPC",64639,65090,28150,46006,30373,37412,46930,66162,87908,49422,43917,26525,30652,21623,54336,30211,43083,37126
"Neg",32408,"[M+HCOO]-",6.392,"PC 16:0_9:0<oxo> (b)","OxPC",98643,84184,57192,74381,57400,28116,67880,170594,164725,79479,101891,67927,95260,52820,74346,85290,105825,91862
"Pos",35869,"[M+H]+",11.392,"PC 16:1_16:1 (a)","PC",466539663,445234699,438474841,393138472,394627519,370722499,347003930,180762521,410042669,369133259,368226905,374687537,379335813,303522881,325612021,278711267,346108775,297516907
"Pos",35871,"[M+H]+",12.002,"PC 16:1_16:1 (b)","PC",38905750,36653673,36634142,32356926,31712651,30729455,27308812,13970896,32152593,30555821,29145634,27843452,29850840,24098783,26079143,19390843,27880006,22356639
"Pos",37228,"[M+H]+",11.948,"PC 16:1_17:1","PC",141792880,130817354,132705196,112651567,114971564,101203583,92343884,45228153,112418977,103164957,100130252,106338947,102129895,86344070,89252276,75371613,101249476,80954931
"Pos",38535,"[M+H]+",12.485,"PC 16:1_18:1 (a)","PC",7037966897,6834322098,6845340356,6174399562,6100323669,5776708734,5076614227,2869574455,6113207265,5713474212,5850471639,5899358960,5816485982,4723511016,5078875426,4386929699,5496313040,4728256458
"Pos",38544,"[M+H]+",13.486,"PC 16:1_18:1 (b)","PC",21844887,23206398,30793712,26738890,24948632,26879786,23339856,21090577,24858577,28938493,22271932,24161100,21931405,21727521,19904037,21875430,21249884,17668042
"Neg",40207,"[M+HCOO]-",9.57,"PC 16:1_18:1<OOH> (a)","OxPC",4908,4360,3861,19859,29011,11142,16114,9342,35297,110654,68475,99992,95535,89357,109782,204637,243828,191035
"Neg",40215,"[M+HCOO]-",9.752,"PC 16:1_18:1<OOH> (b)","OxPC",0,4120,8745,4159,10983,0,17318,3486,13008,146260,159049,230019,157230,172817,222940,421466,583878,453360
"Pos",38337,"[M+H]+",11.606,"PC 16:1_18:2 (a)","PC",52503832,25596420,25696339,22533891,47750049,42059403,42096928,18435446,50006609,42638180,40675835,46059375,48994830,31206917,41381828,30144820,19385813,35443155
"Pos",38339,"[M+H]+",11.733,"PC 16:1_18:2 (b)","PC",172897014,209664035,202713849,178802364,135298904,126368165,106324864,59933873,136002223,122270039,129990257,115796653,118527255,99301049,101065615,88529442,148734344,96676140
"Pos",38334,"[M+H]+",13.457,"PC 16:1_18:2 (c)","PC",140535893,137365088,133496270,139845089,137519735,133490067,128684130,122251220,124329513,112406976,105522957,105667358,112830222,106428762,109217272,100514349,104151899,104837183
"Pos",38159,"[M+H]+",10.821,"PC 16:1_18:3","PC",7714808,8046716,7808765,7370551,7056013,6608524,6335675,3298314,7099499,6343280,6395974,6812662,6416786,5304810,6062320,4839497,5597996,5260672
"Pos",40653,"[M+H]+",11.336,"PC 16:1_20:4","PC",28249275,25552187,27306164,24860508,25412561,22749951,19994137,9415086,24668643,21758637,21664316,22186425,21340151,16735434,19014122,14076291,20097230,16565685
"Pos",40470,"[M+H]+",10.653,"PC 16:1_20:5","PC",8078045,7607314,7427737,6710777,6757673,6512895,5949723,3013020,6667866,6482841,5995517,6095021,5959968,4801691,5343219,4027687,4980412,4362360
"Pos",43330,"[M+H]+",11.367,"PC 16:1_22:5","PC",18638603,16408968,17288543,14504986,15092829,13787347,12336603,6186960,14438118,13501989,13507702,13080642,13909275,10592078,11983566,8979820,12800228,10452300
"Pos",43123,"[M+H]+",11.034,"PC 16:1_22:6","PC",63423157,56742743,59588737,50937833,50967885,47136583,41212694,17972785,49267428,47120689,45712478,42535220,44832903,34321786,37015292,26729690,36348942,32090791
"Pos",40099,"[M+H]+",14.068,"PC 17:0_18:1","PC",141970221,142522553,142403025,117400600,45292273,120186159,83550854,52531164,90304024,99539546,109874963,108300884,104935244,93314041,83233772,87790484,35784128,70396830
"Pos",39888,"[M+H]+",13.079,"PC 17:1_18:1","PC",910811282,827393577,812274532,779229644,783749856,719684904,581827374,323345262,707461369,712580055,701650440,710078114,713290670,584272541,589249957,503491216,665783719,561873620
"Pos",39684,"[M+H]+",12.176,"PC 17:1_18:2","PC",55215537,26771495,26519898,44213927,22919211,43379269,37270579,10950550,22238345,21276858,43435407,21139168,23878929,34366998,35325509,31470049,36592338,29450865
"Pos",42109,"[M+H]+",11.886,"PC 17:1_20:4","PC",12576706,11008735,14114223,9717450,10221128,8503127,7541713,3622144,8713571,8301279,8552905,8754659,8042382,6824196,7098684,5417107,7233900,6162411
"Pos",41485,"[M+H]+",14.982,"PC 18:0_18:1 (a)","PC",2984527722,2929441670,2897419546,2580554049,2474010046,2395615442,1715625898,998604045,2198384731,2151602501,2243658098,2236249711,2192309680,1729955765,1813040731,1541444643,2021375113,1811274845
"Pos",41491,"[M+H]+",15.894,"PC 18:0_18:1 (b)","PC",4435986,2699946,8338614,2430691,2384753,7617319,1750337,3598503,2068096,6226192,2114792,2172937,3469443,1740673,6792290,1628996,4028102,1735393
"Pos",44232,"[M+H]+",16.492,"PC 18:0_20:1","PC",82277190,80049709,80178779,71006064,69157462,65872058,44718943,29226146,56774565,57510725,58255406,60797836,58606665,47575959,47727515,42314621,55360561,48740166
"Pos",43877,"[M+H]+",14.167,"PC 18:0_20:3 (a)","PC",219089350,209425414,196344583,175078115,172750314,167037307,132604558,75157635,160545332,165006180,159501848,162599677,155622707,121848943,136011835,109083178,143648391,122554685
"Pos",43878,"[M+H]+",14.594,"PC 18:0_20:3 (b)","PC",25736579,26511739,25811717,24124736,22370219,20885333,17559593,10989677,21621883,20619965,20706879,11801383,20011228,10816373,18101249,14462363,16777928,16864853
"Pos",43702,"[M+H]+",13.534,"PC 18:0_20:4","PC",175664569,186234247,169131510,159457577,157029713,151385204,125750618,80609325,154360273,147470204,144498465,140801487,142341466,116214680,126554145,93719186,123715717,111648011
"Pos",43520,"[M+H]+",12.644,"PC 18:0_20:5","PC",121096678,126390090,122644667,91823476,104560896,92782455,73860370,41590456,102709641,97382436,102615586,93748214,96240511,67576479,83845975,55902326,80940280,65991143
"Pos",46234,"[M+H]+",13.531,"PC 18:0_22:5","PC",177581957,174562911,175141128,155266974,157544634,144688140,124341989,80500304,149255659,145663191,144345265,136981193,139266057,116407349,121783257,96018247,119869407,116909105
"Pos",46039,"[M+H]+",13.123,"PC 18:0_22:6","PC",144181333,142808526,138368891,122887751,124778069,116755937,89947587,54823664,114602517,108802781,106906618,110259131,101278968,85449299,88206063,64699057,87863913,79484218
